Patient_ID,ratio,total_muts,B2M,HLA_A,HLA_C,B2M_status,HLA_A_status,HLA_C_status
AUR-493-1-02,0.1,160,-0.169194125,0.0126883333333333,0.0483803170731707,0,0,0
AUR-493-1-03,0.2318181818181818,220,-0.301079375,-0.358621333333333,0.0901305,1,1,0
AUR-493-4-03,0.14429530201342283,298,-0.258737,1.18141266666667,0.929206243902439,0,0,0
AUR-_500_04,0.12011577424023155,691,-0.15161325,-1.012821,-2.52110607317073,0,1,1
AUR_01_07,0.1304858934169279,7656,-0.7693235,-0.0294679999999999,-0.0901595853658536,1,0,0
AUR_01_09,0.10196560196560196,2442,-0.0054435,-0.563214,0.241542036585366,0,1,0
AUR_01_11,0.07132842621801612,5706,-0.101102,-0.290117666666667,-0.202335353658536,0,0,0
AUR_01_12,0.12264150943396226,106,0.03249025,0.0862483333333333,-0.0058950731707317,0,0,0
AUR_01_13,0.08127692910301607,5106,-0.02896675,-0.491618333333333,0.271084902439024,0,1,0
AUR_01_14,0.07722818478768081,4286,-0.228863375,0.243947666666667,-0.144758597560976,0,0,0
AUR_01_15,0.14877300613496933,652,-0.270809125,-0.429145666666667,0.319224975609756,0,1,0
AUR_01_16,0.11346362649294245,3684,-0.204183,-0.157835333333333,0.100579390243902,0,0,0
AUR_01_17,0.1259698767685988,2191,-0.557900375,0.091256,-0.188305109756097,1,0,0
AUR_01_19,0.14565217391304347,920,-0.214808,-0.325817333333333,-0.802254012195122,0,1,1
AUR_01_20,0.10279605263157894,2432,-0.566532125,-0.312755333333333,0.1317865,1,1,0
AUR_01_22,0.18181818181818182,473,-0.171176375,-0.805878,-0.253452109756097,0,1,0
AUR_03_549-11,0.18181818181818182,198,-0.10546825,0.0007019999999999,-0.0160316829268292,0,0,0
AUR_03_549-12,0.1986754966887417,302,-0.7666955,-0.452085666666667,-0.0018431951219512,1,1,0
AUR_03_549-19,0.083205268935236,4555,-0.1142105,-0.467072,0.0566664512195121,0,1,0
AUR_03_549-2,0.11306532663316583,398,-0.410985375,-0.637145,-0.266613451219512,1,1,0
AUR_03_549-3,0.10526315789473684,2147,-0.741622,0.0944756666666666,0.411583475609756,1,0,0
AUR_03_549-5,0.1027979274611399,4825,-0.15011525,-0.6158,-0.135882024390244,0,1,0
AUR_03_549-7,0.12903225806451613,186,-0.075527,-0.466574666666667,-0.301440890243902,0,1,1
AUR_03_549-8,0.1932367149758454,207,-0.189984375,0.189064,0.367473085365854,0,0,0
AUR_06_01,0.11024643320363164,771,-0.20553475,0.210151666666667,0.240712487804878,0,0,0
AUR_06_02,0.19603960396039605,505,0.219363875,-0.10243,0.148998743902439,0,0,0
AUR_06_03,0.11969111969111969,259,-0.23359175,0.299888,0.0655733780487805,0,0,0
AUR_06_05,0.19793459552495696,581,-0.509320625,-1.01807533333333,-0.537541926829268,1,1,1
AUR_13_676-1,0.07306226175349428,3148,-0.539993,-0.222385666666667,0.0085074024390243,1,0,0
AUR_13_676-2,0.09262557890986818,2807,-0.1897125,-0.276947666666667,-1.82689806097561,0,0,1
AUR_13_676-5,0.11289120715350223,2684,-0.101357375,0.483793666666667,0.11321887804878,0,0,0
AUR_13_676-7,0.10834762721555175,3498,-0.497554625,0.212017,0.254119085365854,1,0,0
AUR_500_03,0.16483516483516483,2548,-0.163644375,-1.17613433333333,-0.292840097560976,0,1,0
AUR_500_06,0.12921348314606743,178,0.344482,-0.9475,-0.670888268292683,0,1,1
AUR_5_412-1,0.12312312312312312,333,-0.203189125,0.181397,-1.94778045121951,0,0,1
AUR_5_412-10,0.1520912547528517,263,-0.03927325,0.0061263333333333,0.119534146341463,0,0,0
AUR_5_412-3,0.08414872798434442,511,-0.311552125,0.156237333333333,0.428725451219512,1,0,0
AUR_5_412-5,0.24521072796934865,261,-0.03498725,-0.916400333333333,-0.0518461829268292,0,1,0
AUR_5_412-7,0.12091730368311328,1439,-0.174923125,0.222134333333333,-0.169396036585366,0,0,0
AUR_5_412-8,0.11188271604938271,1296,-0.040636125,0.180301,-0.106542426829268,0,0,0
AUR_Duke_01,0.10628302994715208,1703,0.373164125,-0.395719333333333,-0.29322543902439,0,1,0
AUR_Duke_05,0.06421299921691465,2554,-0.151614875,-0.537349333333333,-0.216267609756097,0,1,0
BS14-E19700_A4,0.04412763068567549,2946,-0.42775125,-0.249401,-0.195801670731707,1,0,0
