Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
EPM2AIP1,0,0,0,0,32,0,0,0,0,32
KIF14,0,8,0,0,12,4,0,1,0,25
MKI67,3,3,0,0,6,2,0,0,0,14
CD109,0,4,0,0,8,2,0,0,0,14
SOWAHC,0,0,0,0,12,0,0,0,0,12
PRG4,0,0,3,0,7,0,0,0,0,10
PCGF1,0,0,0,0,7,0,0,0,0,7
OGFR,0,0,5,0,2,0,0,0,0,7
C9orf64,0,0,0,0,6,0,0,0,0,6
LTF,0,0,0,0,6,0,0,0,0,6
WDR5,0,0,0,0,3,3,0,0,0,6
PPM1G,0,0,0,0,0,6,0,0,0,6
RAD54L,0,0,0,0,6,0,0,0,0,6
BRIP1,0,0,0,0,5,0,0,0,0,5
FAM81A,0,0,0,0,5,0,0,0,0,5
CACYBP,0,0,0,0,2,2,0,0,0,4
COPS6,2,0,2,0,0,0,0,0,0,4
RNF20,0,0,0,0,4,0,0,0,0,4
VRK1,0,0,0,0,2,0,0,2,0,4
IDH3G,0,0,0,0,4,0,0,0,0,4
NIPAL1,0,0,0,0,2,2,0,0,0,4
GLCE,0,0,0,0,0,4,0,0,0,4
GLRX3,0,2,0,0,0,2,0,0,0,4
KRI1,2,0,0,0,0,0,0,2,0,4
B4GALT1,0,0,0,0,4,0,0,0,0,4
MBD6,2,0,0,0,1,0,0,0,0,3
CHDH,0,0,0,0,3,0,0,0,0,3
GSK3A,0,0,0,0,0,3,0,0,0,3
MRPL24,0,0,0,0,3,0,0,0,0,3
GALK1,0,0,0,0,3,0,0,0,0,3
GCAT,0,0,0,0,0,3,0,0,0,3
GPAA1,0,0,0,0,0,0,0,3,0,3
GOLPH3,0,0,0,0,3,0,0,0,0,3
RSPRY1,0,0,0,0,3,0,0,0,0,3
RINL,0,0,0,0,3,0,0,0,0,3
ARV1,0,0,0,0,3,0,0,0,0,3
ZNF550,1,0,1,0,1,0,0,0,0,3
BTBD10,0,0,0,0,3,0,0,0,0,3
TAF7,0,0,0,0,3,0,0,0,0,3
ARHGEF15,0,0,0,0,3,0,0,0,0,3
ANKRD54,0,0,0,0,3,0,0,0,0,3
MIB2,0,0,0,0,2,0,0,0,0,2
MRPL37,0,0,0,0,2,0,0,0,0,2
GRIN3A,0,0,0,0,1,1,0,0,0,2
MRPL13,0,0,0,0,2,0,0,0,0,2
FAM98B,0,0,0,0,0,2,0,0,0,2
ANKRD18A,0,0,0,0,2,0,0,0,0,2
ZNF23,0,0,0,0,1,1,0,0,0,2
ZBTB26,0,0,0,0,2,0,0,0,0,2
UBXN10,0,0,0,0,2,0,0,0,0,2
WDR61,0,0,0,0,2,0,0,0,0,2
ISY1,0,0,0,0,2,0,0,0,0,2
KLF3,1,0,0,0,1,0,0,0,0,2
HNRNPA1,0,0,0,0,0,2,0,0,0,2
SALL4,1,0,0,0,1,0,0,0,0,2
DYNLL1,0,0,0,0,2,0,0,0,0,2
QTRT1,0,0,0,0,2,0,0,0,0,2
SCGB2A1,0,0,0,0,2,0,0,0,0,2
DTWD1,0,0,0,0,2,0,0,0,0,2
PCDHB11,0,0,0,0,2,0,0,0,0,2
NPIPB11,1,0,0,0,1,0,0,0,0,2
TEN1,0,0,0,0,0,2,0,0,0,2
TEX30,0,0,0,0,2,0,0,0,0,2
ARSI,0,1,0,0,1,0,0,0,0,2
TMEM123,0,0,0,0,2,0,0,0,0,2
AARSD1,0,0,0,0,1,1,0,0,0,2
ZNF48,0,0,0,0,2,0,0,0,0,2
STK17B,0,0,0,0,0,2,0,0,0,2
SPC25,0,0,0,1,1,0,0,0,0,2
TADA1,0,0,0,0,2,0,0,0,0,2
BMS1,0,0,1,1,0,0,0,0,0,2
SH2D3A,0,1,0,0,1,0,0,0,0,2
SFXN4,0,0,0,0,2,0,0,0,0,2
SLC50A1,0,0,0,0,2,0,0,0,0,2
CALML5,0,0,0,0,2,0,0,0,0,2
ADRB1,0,0,0,0,2,0,0,0,0,2
APH1A,0,0,0,0,2,0,0,0,0,2
PCDHA10,0,0,0,0,2,0,0,0,0,2
PITPNC1,0,0,0,0,2,0,0,0,0,2
SOWAHB,0,0,0,0,1,0,0,0,0,1
SPATC1,0,0,0,0,1,0,0,0,0,1
STX7,0,0,0,0,0,1,0,0,0,1
STOML2,0,0,0,1,0,0,0,0,0,1
C12orf60,0,0,0,1,0,0,0,0,0,1
TAF9B,0,0,0,0,1,0,0,0,0,1
TGFB1,0,0,0,0,1,0,0,0,0,1
TEKT3,1,0,0,0,0,0,0,0,0,1
TMEM64,0,0,0,1,0,0,0,0,0,1
TP53RK,0,1,0,0,0,0,0,0,0,1
UBD,0,0,0,0,1,0,0,0,0,1
TTC32,0,0,0,0,1,0,0,0,0,1
UBE2M,0,0,0,0,1,0,0,0,0,1
UBE2B,0,0,0,0,1,0,0,0,0,1
TEKT2,0,0,0,0,1,0,0,0,0,1
BCL6,0,0,0,0,1,0,0,0,0,1
ATF1,0,0,0,0,0,0,0,1,0,1
B4GALT6,0,0,0,0,0,1,0,0,0,1
TMEM209,0,0,0,0,0,1,0,0,0,1
BBIP1,1,0,0,0,0,0,0,0,0,1
TIMMDC1,1,0,0,0,0,0,0,0,0,1
TMED8,0,0,0,0,1,0,0,0,0,1
CRABP1,0,0,0,0,1,0,0,0,0,1
SF3B6,0,0,0,0,1,0,0,0,0,1
NT5C,1,0,0,0,0,0,0,0,0,1
NT5DC3,0,0,0,0,1,0,0,0,0,1
NUBP1,0,0,0,0,1,0,0,0,0,1
PAICS,0,0,0,0,0,0,0,1,0,1
PAQR7,0,0,0,0,1,0,0,0,0,1
FAM229A,1,0,0,0,0,0,0,0,0,1
FAM110B,0,0,0,1,0,0,0,0,0,1
PHOSPHO2,0,0,0,0,1,0,0,0,0,1
DTX3L,0,0,0,0,1,0,0,0,0,1
EFHD1,0,0,0,0,1,0,0,0,0,1
PTPRCAP,0,0,0,0,0,1,0,0,0,1
DOLK,0,0,0,0,1,0,0,0,0,1
CTAGE15,0,0,0,0,1,0,0,0,0,1
DAG1,1,0,0,0,0,0,0,0,0,1
PSEN1,0,0,0,0,1,0,0,0,0,1
PRDX6,0,0,0,0,1,0,0,0,0,1
RAD18,1,0,0,0,0,0,0,0,0,1
RAB10,0,0,0,0,1,0,0,0,0,1
PUS1,0,0,0,0,1,0,0,0,0,1
SLC7A11,0,0,0,0,1,0,0,0,0,1
SMS,0,0,0,1,0,0,0,0,0,1
CDCA4,1,0,0,0,0,0,0,0,0,1
SNRPC,0,0,0,0,1,0,0,0,0,1
C8orf33,0,0,0,0,0,0,0,1,0,1
SAV1,0,0,0,0,1,0,0,0,0,1
SCRN2,0,0,0,0,1,0,0,0,0,1
CINP,0,0,0,0,1,0,0,0,0,1
CHRM1,0,0,0,0,1,0,0,0,0,1
RIOK1,0,0,0,0,0,0,0,1,0,1
RILPL2,0,0,0,0,1,0,0,0,0,1
REEP1,0,0,0,0,1,0,0,0,0,1
RBM8A,0,0,0,0,0,0,0,1,0,1
CAV2,0,0,0,0,1,0,0,0,0,1
