Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
MUC16,8,9,0,0,26,18,0,0,0,61
MUC19,0,0,0,0,22,7,0,0,0,29
OBSCN,3,0,0,0,12,0,0,0,0,15
CIT,9,0,0,4,0,0,0,0,0,13
NF1,3,0,0,0,6,0,0,0,0,9
WDFY3,0,0,0,0,6,3,0,0,0,9
CCDC168,2,0,0,3,1,3,0,0,0,9
USH2A,0,0,0,0,7,0,0,0,0,7
HUWE1,0,0,0,0,7,0,0,0,0,7
DOCK8,0,0,0,0,6,0,0,0,0,6
LCOR,0,0,0,0,4,2,0,0,0,6
VPS13A,0,0,0,0,6,0,0,0,0,6
SYNE2,4,0,0,0,2,0,0,0,0,6
ANK3,0,0,0,0,3,3,0,0,0,6
TRRAP,0,0,0,0,6,0,0,0,0,6
POLQ,0,2,0,0,3,0,0,0,0,5
MACF1,0,0,0,0,5,0,0,0,0,5
ITPR2,0,0,0,0,4,1,0,0,0,5
ANKRD36C,0,0,0,0,5,0,0,0,0,5
PLEC,0,0,0,0,3,2,0,0,0,5
TPR,0,0,0,0,5,0,0,0,0,5
CNTNAP2,0,0,0,0,3,0,0,2,0,5
SETD2,0,0,0,0,5,0,0,0,0,5
PKHD1L1,2,0,0,0,3,0,0,0,0,5
NCOR1,3,0,0,0,0,1,0,0,0,4
EPG5,0,2,0,0,2,0,0,0,0,4
FAM184A,0,0,0,0,4,0,0,0,0,4
SENP6,0,0,0,0,4,0,0,0,0,4
CLTC,0,0,0,0,0,2,0,2,0,4
RYR1,0,0,0,0,4,0,0,0,0,4
SORL1,2,0,0,0,2,0,0,0,0,4
THBS4,0,0,0,0,2,2,0,0,0,4
SYCP2,0,0,0,0,4,0,0,0,0,4
TBCK,4,0,0,0,0,0,0,0,0,4
TMC3,0,2,0,0,0,2,0,0,0,4
SSC5D,0,0,0,0,4,0,0,0,0,4
SCN2A,0,0,0,0,4,0,0,0,0,4
SEC24B,2,0,0,0,2,0,0,0,0,4
RPGRIP1L,0,0,0,0,4,0,0,0,0,4
RHCE,0,2,0,0,0,2,0,0,0,4
DNAJC13,0,0,0,0,2,2,0,0,0,4
ABI3BP,0,2,0,0,0,2,0,0,0,4
PTPRC,0,0,0,0,2,0,0,2,0,4
FSIP2,0,0,0,0,4,0,0,0,0,4
FAM186A,0,0,0,0,4,0,0,0,0,4
EXOC6B,0,0,0,0,2,2,0,0,0,4
GOLGA4,0,0,2,0,2,0,0,0,0,4
LAMA2,0,2,0,0,2,0,0,0,0,4
LYST,0,0,0,0,4,0,0,0,0,4
LRRIQ1,0,0,0,0,4,0,0,0,0,4
KIF15,0,2,2,0,0,0,0,0,0,4
KMT2E,4,0,0,0,0,0,0,0,0,4
KCNH8,0,0,0,0,0,4,0,0,0,4
EPB41L4B,0,0,0,0,4,0,0,0,0,4
ANKHD1,0,0,0,0,3,0,0,0,0,3
DST,0,0,0,0,0,3,0,0,0,3
DYNC1I1,0,0,0,0,3,0,0,0,0,3
NBPF1,0,0,0,0,3,0,0,0,0,3
XYLT1,0,0,0,0,3,0,0,0,0,3
MGAM,0,0,0,0,2,1,0,0,0,3
NCAPD2,1,0,0,0,2,0,0,0,0,3
MYO10,0,0,0,0,2,1,0,0,0,3
WNK1,0,0,0,0,3,0,0,0,0,3
FLG,0,0,0,0,3,0,0,0,0,3
LAMA5,0,0,0,0,3,0,0,0,0,3
ALDH18A1,0,0,0,0,3,0,0,0,0,3
VCAN,1,0,0,0,2,0,0,0,0,3
GEMIN5,0,0,0,0,3,0,0,0,0,3
ZMYND8,0,0,0,0,3,0,0,0,0,3
IREB2,0,0,0,0,3,0,0,0,0,3
HEATR5A,0,0,0,0,3,0,0,0,0,3
FAT2,0,0,0,0,3,0,0,0,0,3
MAP3K1,1,0,0,0,0,2,0,0,0,3
LRBA,0,0,0,0,3,0,0,0,0,3
RPGRIP1,0,0,0,0,0,3,0,0,0,3
SDK2,0,0,0,0,3,0,0,0,0,3
CKAP5,0,0,0,0,1,2,0,0,0,3
APC,0,0,0,0,3,0,0,0,0,3
DHX8,0,0,0,0,3,0,0,0,0,3
DOC2B,0,0,0,0,3,0,0,0,0,3
CUBN,0,0,0,0,1,2,0,0,0,3
DOCK7,3,0,0,0,0,0,0,0,0,3
PDZD2,0,0,0,0,3,0,0,0,0,3
PCLO,0,0,0,0,3,0,0,0,0,3
PHIP,0,0,0,0,0,3,0,0,0,3
DMXL2,2,1,0,0,0,0,0,0,0,3
CHD6,0,0,0,0,2,1,0,0,0,3
NEB,0,0,0,0,3,0,0,0,0,3
TIMELESS,0,1,0,0,2,0,0,0,0,3
ANK2,0,0,0,0,2,0,0,0,0,2
EMC2,0,0,0,0,2,0,0,0,0,2
ESPL1,0,0,0,0,0,2,0,0,0,2
EPM2A,0,0,0,0,2,0,0,0,0,2
MYO9B,0,0,0,0,2,0,0,0,0,2
MTDH,0,1,0,0,1,0,0,0,0,2
ANKIB1,0,1,0,0,1,0,0,0,0,2
MIA3,0,0,0,0,2,0,0,0,0,2
AKAP9,0,0,0,0,0,2,0,0,0,2
VIPAS39,0,0,0,0,2,0,0,0,0,2
USP53,0,2,0,0,0,0,0,0,0,2
MYO18B,0,0,0,0,2,0,0,0,0,2
MECOM,0,0,0,0,2,0,0,0,0,2
FHOD3,1,0,0,1,0,0,0,0,0,2
FNBP1L,0,0,0,0,1,0,0,1,0,2
FN1,0,0,0,0,2,0,0,0,0,2
LRP1,0,0,0,0,2,0,0,0,0,2
GOLGB1,0,0,0,0,2,0,0,0,0,2
WIZ,0,0,0,0,2,0,0,0,0,2
ALOX12,0,0,0,0,2,0,0,0,0,2
MAP3K4,0,0,0,0,2,0,0,0,0,2
MEGF8,0,0,0,0,2,0,0,0,0,2
FLNB,0,1,0,0,1,0,0,0,0,2
FCGBP,0,0,0,0,2,0,0,0,0,2
MDC1,0,0,0,0,2,0,0,0,0,2
FCRL5,0,0,1,0,1,0,0,0,0,2
FGA,1,0,0,0,1,0,0,0,0,2
FAM227A,0,0,0,0,1,0,0,1,0,2
KIAA2026,0,0,0,0,2,0,0,0,0,2
ITGAV,0,0,0,0,2,0,0,0,0,2
ABCA1,0,0,0,0,2,0,0,0,0,2
ZNF695,0,0,0,0,2,0,0,0,0,2
ZFHX3,0,1,0,0,1,0,0,0,0,2
ZNF644,0,0,0,0,2,0,0,0,0,2
IGSF10,0,0,0,0,2,0,0,0,0,2
HRNR,0,0,0,0,2,0,0,0,0,2
ZNF462,0,0,0,0,2,0,0,0,0,2
ACIN1,0,0,0,0,1,1,0,0,0,2
HBS1L,0,0,0,0,2,0,0,0,0,2
KIDINS220,0,0,0,0,2,0,0,0,0,2
HMCN1,0,0,0,0,2,0,0,0,0,2
MYH11,0,0,2,0,0,0,0,0,0,2
MYH9,0,0,0,0,2,0,0,0,0,2
EXPH5,0,0,0,0,2,0,0,0,0,2
ENAH,0,0,0,0,2,0,0,0,0,2
UBR4,0,0,0,0,1,0,0,1,0,2
ATG2B,0,0,0,0,2,0,0,0,0,2
ATP10D,0,0,0,0,0,2,0,0,0,2
TRPC3,0,0,0,0,2,0,0,0,0,2
DNAH8,0,0,0,0,2,0,0,0,0,2
DNAH7,0,0,0,0,0,2,0,0,0,2
USP28,0,0,0,0,0,2,0,0,0,2
PHLDB1,0,0,0,0,2,0,0,0,0,2
DYNC1I2,2,0,0,0,0,0,0,0,0,2
DYNC2H1,1,0,0,0,0,0,0,1,0,2
DOCK6,2,0,0,0,0,0,0,0,0,2
PDE10A,0,0,0,0,0,0,0,2,0,2
DSPP,0,0,0,0,2,0,0,0,0,2
DOCK4,0,0,0,0,2,0,0,0,0,2
EGF,0,0,0,0,2,0,0,0,0,2
ULK4,0,0,0,0,2,0,0,0,0,2
TPP2,2,0,0,0,0,0,0,0,0,2
TNIK,0,0,0,0,2,0,0,0,0,2
TNS2,2,0,0,0,0,0,0,0,0,2
CR1,0,0,0,0,2,0,0,0,0,2
RANBP2,0,0,0,0,2,0,0,0,0,2
CSMD1,2,0,0,0,0,0,0,0,0,2
CSF1R,0,0,0,0,2,0,0,0,0,2
REPS2,0,0,0,0,2,0,0,0,0,2
PTK2,0,0,0,0,2,0,0,0,0,2
CWC27,0,0,0,0,2,0,0,0,0,2
DDX60,0,0,0,0,1,1,0,0,0,2
PRC1,0,0,0,0,0,0,0,2,0,2
DIDO1,0,0,0,0,2,0,0,0,0,2
DIAPH2,0,0,0,0,2,0,0,0,0,2
ASXL1,1,0,0,0,1,0,0,0,0,2
ATR,0,2,0,0,0,0,0,0,0,2
DOCK11,0,0,0,0,2,0,0,0,0,2
