gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
CEP350,3,0,3,0.0,34,0,34,0.0,0.0,0.0,37
AKAP13,4,0,4,0.0,33,0,33,0.0,0.0,0.0,37
FBN1,3,0,3,0.0,32,0,32,0.0,0.0,0.0,35
ASCC3,5,0,5,0.0,28,0,28,0.0,0.0,0.0,33
MYOF,3,0,3,0.0,27,0,27,0.0,0.0,0.0,30
TRIP12,4,0,4,0.0,25,0,25,0.0,0.0,0.0,29
UBR2,3,0,3,0.0,26,0,26,0.0,0.0,0.0,29
KMT2A,4,0,4,0.0,24,0,24,0.0,0.0,0.0,28
ARID1A,5,0,5,0.0,23,0,23,0.0,0.0,0.0,28
TNRC6A,3,0,3,0.0,24,0,24,0.0,0.0,0.0,27
LEPR,3,0,3,0.0,24,0,24,0.0,0.0,0.0,27
NOTCH2,4,0,4,0.0,23,0,23,0.0,0.0,0.0,27
DOCK10,3,0,3,0.0,23,0,23,0.0,0.0,0.0,26
SPTBN1,3,0,3,0.0,22,0,22,0.0,0.0,0.0,25
CEP250,4,0,4,0.0,21,0,21,0.0,0.0,0.0,25
SLC4A2,5,0,5,0.0,20,0,20,0.0,0.0,0.0,25
TEP1,5,0,5,0.0,19,0,19,0.0,0.0,0.0,24
IFT140,4,0,4,0.0,20,0,20,0.0,0.0,0.0,24
DENND4C,3,0,3,0.0,21,0,21,0.0,0.0,0.0,24
ARHGEF11,3,0,3,0.0,20,0,20,0.0,0.0,0.0,23
ARHGEF12,3,0,3,0.0,20,0,20,0.0,0.0,0.0,23
DOCK1,4,0,4,0.0,19,0,19,0.0,0.0,0.0,23
RIF1,4,0,4,0.0,19,0,19,0.0,0.0,0.0,23
MON2,5,0,5,0.0,16,0,16,0.0,0.0,0.0,21
GNAS,5,0,5,0.0,16,0,16,0.0,0.0,0.0,21
STAB1,5,0,5,0.0,16,0,16,0.0,0.0,0.0,21
RECQL5,3,0,3,0.0,18,0,18,0.0,0.0,0.0,21
SCRIB,3,0,3,0.0,18,0,18,0.0,0.0,0.0,21
VPS8,3,0,3,0.0,17,0,17,0.0,0.0,0.0,20
ZNF638,6,0,6,0.0,14,0,14,0.0,0.0,0.0,20
GATA3,8,0,8,0.0,11,0,11,0.0,0.0,0.0,19
CD163L1,3,0,3,0.0,16,0,16,0.0,0.0,0.0,19
LAMB1,3,0,3,0.0,16,0,16,0.0,0.0,0.0,19
XRN2,4,0,4,0.0,15,0,15,0.0,0.0,0.0,19
CELSR2,5,0,5,0.0,14,0,14,0.0,0.0,0.0,19
SMARCA2,3,0,3,0.0,16,0,16,0.0,0.0,0.0,19
SIPA1L3,6,0,6,0.0,13,0,13,0.0,0.0,0.0,19
DDR1,3,0,3,0.0,16,0,16,0.0,0.0,0.0,19
ZNF106,4,0,4,0.0,14,0,14,0.0,0.0,0.0,18
MLLT10,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
PIK3C2B,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
CABIN1,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
SETD1A,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
TAF1,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
INO80,3,0,3,0.0,15,0,15,0.0,0.0,0.0,18
BRD1,3,0,3,0.0,14,0,14,0.0,0.0,0.0,17
DCTN1,3,0,3,0.0,14,0,14,0.0,0.0,0.0,17
DAPK1,3,0,3,0.0,14,0,14,0.0,0.0,0.0,17
R3HDM2,4,0,4,0.0,12,0,12,0.0,0.0,0.0,16
SLC25A13,3,0,3,0.0,13,0,13,0.0,0.0,0.0,16
KMT2B,4,0,4,0.0,12,0,12,0.0,0.0,0.0,16
TAOK1,3,0,3,0.0,13,0,13,0.0,0.0,0.0,16
SETD1B,6,0,6,0.0,10,0,10,0.0,0.0,0.0,16
CSPP1,3,0,3,0.0,13,0,13,0.0,0.0,0.0,16
PTPRS,3,0,3,0.0,13,0,13,0.0,0.0,0.0,16
ARHGAP39,3,0,3,0.0,13,0,13,0.0,0.0,0.0,16
CPSF1,4,0,4,0.0,12,0,12,0.0,0.0,0.0,16
ZNF185,4,0,4,0.0,11,0,11,0.0,0.0,0.0,15
C6orf132,6,0,6,0.0,9,0,9,0.0,0.0,0.0,15
MEGF6,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
PRRC2B,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
PARP9,4,0,4,0.0,11,0,11,0.0,0.0,0.0,15
DOT1L,5,0,5,0.0,10,0,10,0.0,0.0,0.0,15
ERBB3,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
TONSL,4,0,4,0.0,11,0,11,0.0,0.0,0.0,15
DENND4B,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
ANKMY1,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
CTTN,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
SIPA1L1,4,0,4,0.0,11,0,11,0.0,0.0,0.0,15
DLG5,4,0,4,0.0,11,0,11,0.0,0.0,0.0,15
TNPO3,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
KAZN,3,0,3,0.0,12,0,12,0.0,0.0,0.0,15
