gene,N_mutations,N_silenced,ratio
BRIP1,19,10,52.63157894736842
EPM2AIP1,15,8,53.333333333333336
KRT6B,15,8,53.333333333333336
KIF14,14,9,64.28571428571429
LTF,12,7,58.333333333333336
SOWAHC,12,7,58.333333333333336
MKI67,11,6,54.54545454545454
PRG4,10,7,70.0
ATP6V0A4,10,6,60.0
CD109,10,6,60.0
PPM1G,9,6,66.66666666666666
RAVER2,9,6,66.66666666666666
WDR5,9,6,66.66666666666666
OGFR,9,5,55.55555555555556
RNF20,9,5,55.55555555555556
C9orf64,8,6,75.0
PLEKHH3,8,6,75.0
PCDHB3,7,6,85.71428571428571
FAM81A,7,5,71.42857142857143
IDH3G,7,5,71.42857142857143
RABEP2,7,5,71.42857142857143
ANAPC10,7,4,57.14285714285714
HFM1,7,4,57.14285714285714
PCGF1,7,4,57.14285714285714
SPTSSB,7,4,57.14285714285714
ZNF48,7,4,57.14285714285714
GGT7,6,5,83.33333333333334
B4GALT6,6,4,66.66666666666666
CD300LG,6,4,66.66666666666666
ISY1,6,4,66.66666666666666
MMP28,6,4,66.66666666666666
P2RX4,6,4,66.66666666666666
SOAT1,6,4,66.66666666666666
STOML2,6,4,66.66666666666666
TGOLN2,6,4,66.66666666666666
VAPA,6,4,66.66666666666666
ZNF23,6,4,66.66666666666666
AKR7A3,5,4,80.0
BTBD10,5,4,80.0
PLCXD2,5,4,80.0
XRCC1,5,4,80.0
AARSD1,5,3,60.0
AGAP7P,5,3,60.0
ARHGEF15,5,3,60.0
ARSD,5,3,60.0
ARV1,5,3,60.0
CHRNA1,5,3,60.0
DAG1,5,3,60.0
DCUN1D1,5,3,60.0
FAM43A,5,3,60.0
FAM98B,5,3,60.0
GCAT,5,3,60.0
GPAA1,5,3,60.0
GRIN3A,5,3,60.0
GSK3A,5,3,60.0
KEAP1,5,3,60.0
LINC00869,5,3,60.0
MRPL13,5,3,60.0
MRPL24,5,3,60.0
PCDHA10,5,3,60.0
RAD54L,5,3,60.0
RINL,5,3,60.0
RIOK1,5,3,60.0
RSPRY1,5,3,60.0
SALL4,5,3,60.0
STRCP1,5,3,60.0
THEM6,5,3,60.0
YBEY,5,3,60.0
PARP12,4,4,100.0
ANKRD18A,4,3,75.0
BEAN1,4,3,75.0
C6orf89,4,3,75.0
CNP,4,3,75.0
GALK1,4,3,75.0
GOLPH3,4,3,75.0
HCN3,4,3,75.0
MBD6,4,3,75.0
MIB2,4,3,75.0
PITPNC1,4,3,75.0
SFXN4,4,3,75.0
TAF7,4,3,75.0
TMEM123,4,3,75.0
TMEM68,4,3,75.0
VRK1,4,3,75.0
