Tumor_Sample_Barcode,Group,Hugo_Symbol,Z_Exp
AUR-493-1-03,High Silencing,B2M,-0.8089
AUR-493-1-03,High Silencing,HLA-A,-0.1749
AUR-493-1-03,High Silencing,HLA-C,0.096
AUR-_500_04_01,Low Silencing,B2M,-1.1749
AUR-_500_04_01,Low Silencing,HLA-A,-1.2403
AUR-_500_04_01,Low Silencing,HLA-C,-0.75
AUR-_500_04_02,High Silencing,B2M,-1.7699
AUR-_500_04_02,High Silencing,HLA-A,-2.2478
AUR-_500_04_02,High Silencing,HLA-C,-2.4258
AUR_01_03_06,Low Silencing,B2M,1.1923
AUR_01_03_06,Low Silencing,HLA-A,0.6678
AUR_01_03_06,Low Silencing,HLA-C,0.117
AUR_01_05_03,High Silencing,B2M,-0.5262
AUR_01_05_03,High Silencing,HLA-A,-0.2649
AUR_01_05_03,High Silencing,HLA-C,0.2936
AUR_01_07_01,Low Silencing,B2M,0.1154
AUR_01_07_01,Low Silencing,HLA-A,0.3386
AUR_01_07_01,Low Silencing,HLA-C,-0.0537
AUR_01_07_05,High Silencing,B2M,0.7002
AUR_01_07_05,High Silencing,HLA-A,1.4369
AUR_01_07_05,High Silencing,HLA-C,0.9018
AUR_01_11_01,Low Silencing,B2M,-0.0762
AUR_01_11_01,Low Silencing,HLA-A,-0.5588
AUR_01_11_01,Low Silencing,HLA-C,-0.3525
AUR_01_11_03,Low Silencing,B2M,0.7145
AUR_01_11_03,Low Silencing,HLA-A,-0.0698
AUR_01_11_03,Low Silencing,HLA-C,0.3281
AUR_01_11_05,Low Silencing,B2M,0.8155
AUR_01_11_05,Low Silencing,HLA-A,-0.0042
AUR_01_11_05,Low Silencing,HLA-C,0.0843
AUR_01_11_07,Low Silencing,B2M,0.1001
AUR_01_11_07,Low Silencing,HLA-A,-0.3638
AUR_01_11_07,Low Silencing,HLA-C,-0.0199
AUR_01_11_08,Low Silencing,B2M,0.3381
AUR_01_11_08,Low Silencing,HLA-A,-0.4774
AUR_01_11_08,Low Silencing,HLA-C,-0.5333
AUR_01_13_01,Low Silencing,B2M,-0.0107
AUR_01_13_01,Low Silencing,HLA-A,-0.4067
AUR_01_13_01,Low Silencing,HLA-C,-0.3479
AUR_01_14_01,Low Silencing,B2M,-0.3873
AUR_01_14_01,Low Silencing,HLA-A,-0.6923
AUR_01_14_01,Low Silencing,HLA-C,-0.6303
AUR_01_14_03,Low Silencing,B2M,-0.1202
AUR_01_14_03,Low Silencing,HLA-A,-0.5621
AUR_01_14_03,Low Silencing,HLA-C,-0.3064
AUR_01_14_07,Low Silencing,B2M,-0.2789
AUR_01_14_07,Low Silencing,HLA-A,-1.1968
AUR_01_14_07,Low Silencing,HLA-C,-0.4518
AUR_01_14_08,High Silencing,B2M,-0.6145
AUR_01_14_08,High Silencing,HLA-A,-2.1662
AUR_01_14_08,High Silencing,HLA-C,-0.1907
AUR_01_16_04,High Silencing,B2M,-0.5986
AUR_01_16_04,High Silencing,HLA-A,0.2375
AUR_01_16_04,High Silencing,HLA-C,0.5457
AUR_01_19_04,Low Silencing,B2M,1.3451
AUR_01_19_04,Low Silencing,HLA-A,0.6116
AUR_01_19_04,Low Silencing,HLA-C,0.2722
AUR_01_19_06,High Silencing,B2M,0.781
AUR_01_19_06,High Silencing,HLA-A,-0.0409
AUR_01_19_06,High Silencing,HLA-C,0.3371
AUR_01_20_09,Low Silencing,B2M,0.1416
AUR_01_20_09,Low Silencing,HLA-A,-0.1369
AUR_01_20_09,Low Silencing,HLA-C,0.123
AUR_01_22_06,High Silencing,B2M,0.4851
AUR_01_22_06,High Silencing,HLA-A,0.1797
AUR_01_22_06,High Silencing,HLA-C,0.168
AUR_01_22_07,High Silencing,B2M,1.6776
AUR_01_22_07,High Silencing,HLA-A,1.0269
AUR_01_22_07,High Silencing,HLA-C,1.255
AUR_03_409-2-01,High Silencing,B2M,0.2606
AUR_03_409-2-01,High Silencing,HLA-A,0.4343
AUR_03_409-2-01,High Silencing,HLA-C,0.3265
AUR_03_549-11_03,High Silencing,B2M,-1.025
AUR_03_549-11_03,High Silencing,HLA-A,-0.6695
AUR_03_549-11_03,High Silencing,HLA-C,-1.4997
AUR_03_549-12_03,High Silencing,B2M,-1.214
AUR_03_549-12_03,High Silencing,HLA-A,-0.8798
AUR_03_549-12_03,High Silencing,HLA-C,-1.5903
AUR_03_549-19_01,Low Silencing,B2M,0.2939
AUR_03_549-19_01,Low Silencing,HLA-A,0.0907
AUR_03_549-19_01,Low Silencing,HLA-C,-0.0034
AUR_03_549-19_03,High Silencing,B2M,-1.3157
AUR_03_549-19_03,High Silencing,HLA-A,-1.0607
AUR_03_549-19_03,High Silencing,HLA-C,-0.3959
AUR_03_549-2_01,Low Silencing,B2M,0.7633
AUR_03_549-2_01,Low Silencing,HLA-A,0.8538
AUR_03_549-2_01,Low Silencing,HLA-C,0.9297
AUR_03_549-3_03,High Silencing,B2M,-0.5012
AUR_03_549-3_03,High Silencing,HLA-A,-0.1785
AUR_03_549-3_03,High Silencing,HLA-C,-1.1534
AUR_03_549-5_05,Low Silencing,B2M,-1.3231
AUR_03_549-5_05,Low Silencing,HLA-A,-1.2659
AUR_03_549-5_05,Low Silencing,HLA-C,-1.1057
AUR_03_549-6_01,Low Silencing,B2M,-0.8304
AUR_03_549-6_01,Low Silencing,HLA-A,-1.0611
AUR_03_549-6_01,Low Silencing,HLA-C,-0.4407
AUR_03_549-8_03,High Silencing,B2M,0.2273
AUR_03_549-8_03,High Silencing,HLA-A,-0.4553
AUR_03_549-8_03,High Silencing,HLA-C,-0.8319
AUR_06_02_03,High Silencing,B2M,-0.141
AUR_06_02_03,High Silencing,HLA-A,0.6176
AUR_06_02_03,High Silencing,HLA-C,-0.0945
AUR_06_03_01,Low Silencing,B2M,0.1529
AUR_06_03_01,Low Silencing,HLA-A,0.7826
AUR_06_03_01,Low Silencing,HLA-C,0.7714
AUR_06_05_01,High Silencing,B2M,0.3124
AUR_06_05_01,High Silencing,HLA-A,2.4205
AUR_06_05_01,High Silencing,HLA-C,2.6735
AUR_06_05_03,High Silencing,B2M,-1.5661
AUR_06_05_03,High Silencing,HLA-A,-0.5148
AUR_06_05_03,High Silencing,HLA-C,-0.0127
AUR_13_676-1_01,Low Silencing,B2M,-0.1569
AUR_13_676-1_01,Low Silencing,HLA-A,0.0845
AUR_13_676-1_01,Low Silencing,HLA-C,0.0991
AUR_13_676-1_03,High Silencing,B2M,-0.0732
AUR_13_676-1_03,High Silencing,HLA-A,1.6097
AUR_13_676-1_03,High Silencing,HLA-C,1.8534
AUR_13_676-2_01,Low Silencing,B2M,1.3071
AUR_13_676-2_01,Low Silencing,HLA-A,1.6507
AUR_13_676-2_01,Low Silencing,HLA-C,1.4552
AUR_13_676-2_03,High Silencing,B2M,-0.1377
AUR_13_676-2_03,High Silencing,HLA-A,1.0538
AUR_13_676-2_03,High Silencing,HLA-C,1.1412
AUR_13_676-7_03,High Silencing,B2M,1.0293
AUR_13_676-7_03,High Silencing,HLA-A,1.7184
AUR_13_676-7_03,High Silencing,HLA-C,1.6081
AUR_500_02_02,High Silencing,B2M,0.073
AUR_500_02_02,High Silencing,HLA-A,-0.9331
AUR_500_02_02,High Silencing,HLA-C,0.3561
AUR_500_03_02,High Silencing,B2M,0.4322
AUR_500_03_02,High Silencing,HLA-A,1.4234
AUR_500_03_02,High Silencing,HLA-C,0.8033
AUR_5_412-3_01,Low Silencing,B2M,0.9506
AUR_5_412-3_01,Low Silencing,HLA-A,1.1852
AUR_5_412-3_01,Low Silencing,HLA-C,1.7399
AUR_5_412-3_03,High Silencing,B2M,2.0746
AUR_5_412-3_03,High Silencing,HLA-A,1.5525
AUR_5_412-3_03,High Silencing,HLA-C,1.9133
AUR_5_412-5_03,High Silencing,B2M,3.4248
AUR_5_412-5_03,High Silencing,HLA-A,2.669
AUR_5_412-5_03,High Silencing,HLA-C,2.3051
AUR_5_412-7_01,Low Silencing,B2M,-0.6869
AUR_5_412-7_01,Low Silencing,HLA-A,-0.6133
AUR_5_412-7_01,Low Silencing,HLA-C,-1.0121
AUR_5_412-7_03,High Silencing,B2M,-1.2551
AUR_5_412-7_03,High Silencing,HLA-A,-1.5259
AUR_5_412-7_03,High Silencing,HLA-C,-2.6197
AUR_Duke_05_18,Low Silencing,B2M,0.3582
AUR_Duke_05_18,Low Silencing,HLA-A,0.531
AUR_Duke_05_18,Low Silencing,HLA-C,0.1478
AUR_Duke_05_27,Low Silencing,B2M,0.3426
AUR_Duke_05_27,Low Silencing,HLA-A,0.2198
AUR_Duke_05_27,Low Silencing,HLA-C,0.0595
BS14-E19700_A4,Low Silencing,B2M,0.5541
BS14-E19700_A4,Low Silencing,HLA-A,0.5419
BS14-E19700_A4,Low Silencing,HLA-C,0.4482
