Hugo_Symbol,Total_Mutations,Silenced_Mutations,Silencing_Rate
A2ML1,14,0,0.0
A4GALT,3,0,0.0
AAAS,4,0,0.0
AACS,6,0,0.0
AADAT,1,0,0.0
AAGAB,1,0,0.0
AAK1,21,2,9.523809523809524
AAMP,3,0,0.0
AAR2,1,0,0.0
AARD,1,0,0.0
AARS2,6,0,0.0
AARSD1,5,0,0.0
AASDH,13,1,7.6923076923076925
AASDHPPT,2,1,50.0
AATF,3,0,0.0
AATK,5,0,0.0
ABALON,1,0,0.0
ABAT,12,0,0.0
ABCA1,23,0,0.0
ABCA10,21,1,4.761904761904762
ABCA12,20,0,0.0
ABCA13,50,0,0.0
ABCA3,8,0,0.0
ABCA4,22,0,0.0
ABCA5,7,0,0.0
ABCA6,9,0,0.0
ABCA8,29,1,3.4482758620689653
ABCA9,21,0,0.0
ABCB1,16,3,18.75
ABCB10,10,0,0.0
ABCB11,27,0,0.0
ABCB6,6,0,0.0
ABCB7,10,0,0.0
ABCB8,3,0,0.0
ABCB9,6,0,0.0
ABCC1,19,1,5.263157894736842
ABCC10,13,0,0.0
ABCC11,8,0,0.0
ABCC5,23,0,0.0
ABCC8,9,0,0.0
ABCC9,24,0,0.0
ABCD1,12,0,0.0
ABCD2,7,0,0.0
ABCD3,12,0,0.0
ABCD4,9,0,0.0
ABCE1,8,0,0.0
ABCF1,11,0,0.0
ABCF2,6,0,0.0
ABCF3,9,0,0.0
ABCG1,2,0,0.0
ABCG2,11,0,0.0
ABHD10,4,0,0.0
ABHD11,3,0,0.0
ABHD12,10,0,0.0
ABHD12B,4,0,0.0
ABHD13,1,0,0.0
ABHD14B,1,0,0.0
ABHD16A,10,0,0.0
ABHD17A,12,1,8.333333333333332
ABHD17B,2,0,0.0
ABHD17C,3,0,0.0
ABHD3,9,0,0.0
ABHD5,7,0,0.0
ABHD6,5,0,0.0
ABHD8,3,0,0.0
ABI1,7,0,0.0
ABI2,22,0,0.0
ABI3,2,0,0.0
ABI3BP,29,0,0.0
ABL1,9,0,0.0
ABL2,15,0,0.0
ABLIM1,8,0,0.0
ABLIM2,9,0,0.0
ABLIM3,11,0,0.0
ABO,5,0,0.0
ABRACL,2,0,0.0
ABT1,3,0,0.0
ABTB1,3,0,0.0
ACAA2,9,0,0.0
ACACA,26,0,0.0
ACACB,27,0,0.0
ACAD8,4,0,0.0
ACAD9,16,0,0.0
ACADL,2,0,0.0
ACADM,6,0,0.0
ACADS,3,0,0.0
ACADVL,10,0,0.0
ACAN,20,0,0.0
ACAP1,9,0,0.0
ACAP2,20,0,0.0
ACAP3,3,0,0.0
ACAT1,7,0,0.0
ACAT2,2,0,0.0
ACBD3,12,0,0.0
ACBD5,1,0,0.0
ACBD7,10,0,0.0
ACCS,5,0,0.0
ACE,5,0,0.0
ACE2,8,0,0.0
ACER2,1,0,0.0
ACER3,10,0,0.0
ACIN1,17,0,0.0
ACKR1,1,0,0.0
ACKR2,3,0,0.0
ACLY,11,0,0.0
ACO1,10,0,0.0
ACO2,11,0,0.0
ACOT1,1,0,0.0
ACOT11,9,0,0.0
ACOT13,3,0,0.0
ACOT4,2,0,0.0
ACOT8,9,0,0.0
ACOT9,3,0,0.0
ACOX1,6,0,0.0
ACOX2,8,0,0.0
ACOX3,10,0,0.0
ACP1,4,0,0.0
ACP2,2,0,0.0
ACP5,3,0,0.0
