Hugo_Symbol,Tumor_Sample_Barcode,Sample_ID,Z_score
RNF207,AUR-493-4-02,AUR-493-4-02,-2.2452
EXOSC10,AUR-493-4-02,AUR-493-4-02,0.1218
NBPF1,AUR-493-4-02,AUR-493-4-02,0.1869
NBPF1,AUR-493-4-02,AUR-493-4-02,0.1869
NBPF1,AUR-493-4-02,AUR-493-4-02,0.1869
USP48,AUR-493-4-02,AUR-493-4-02,-0.1795
PDIK1L,AUR-493-4-02,AUR-493-4-02,0.308
LCK,AUR-493-4-02,AUR-493-4-02,1.8768
MYCBP,AUR-493-4-02,AUR-493-4-02,-1.2621
DMAP1,AUR-493-4-02,AUR-493-4-02,-1.7955
CYP4X1,AUR-493-4-02,AUR-493-4-02,-1.246
ROR1,AUR-493-4-02,AUR-493-4-02,1.1487
FNBP1L,AUR-493-4-02,AUR-493-4-02,0.7125
SEC63P1,AUR-493-4-02,AUR-493-4-02,-0.3429
MOV10,AUR-493-4-02,AUR-493-4-02,0.6242
NBPF26,AUR-493-4-02,AUR-493-4-02,0.3609
RNVU1-6,AUR-493-4-02,AUR-493-4-02,0.4459
NBPF12,AUR-493-4-02,AUR-493-4-02,1.0343
NBPF12,AUR-493-4-02,AUR-493-4-02,1.0343
NBPF11,AUR-493-4-02,AUR-493-4-02,0.3802
NBPF19,AUR-493-4-02,AUR-493-4-02,0.948
PRPF3,AUR-493-4-02,AUR-493-4-02,0.047
UBAP2L,AUR-493-4-02,AUR-493-4-02,0.989
MUC1,AUR-493-4-02,AUR-493-4-02,-2.335
PMF1,AUR-493-4-02,AUR-493-4-02,1.2645
HMCN1,AUR-493-4-02,AUR-493-4-02,0.6289
KCNT2,AUR-493-4-02,AUR-493-4-02,-0.2127
IPO9,AUR-493-4-02,AUR-493-4-02,0.7809
FAM177B,AUR-493-4-02,AUR-493-4-02,-0.3201
COA6,AUR-493-4-02,AUR-493-4-02,-0.0361
EDARADD,AUR-493-4-02,AUR-493-4-02,0.1568
MTR,AUR-493-4-02,AUR-493-4-02,1.3702
TFB2M,AUR-493-4-02,AUR-493-4-02,0.6269
ATAD2B,AUR-493-4-02,AUR-493-4-02,1.5297
EMILIN1,AUR-493-4-02,AUR-493-4-02,0.6679
MRPL19,AUR-493-4-02,AUR-493-4-02,2.153
TRABD2A,AUR-493-4-02,AUR-493-4-02,1.0699
ANKRD36C,AUR-493-4-02,AUR-493-4-02,0.309
GCC2,AUR-493-4-02,AUR-493-4-02,-0.553
NEB,AUR-493-4-02,AUR-493-4-02,-0.7271
LRP2,AUR-493-4-02,AUR-493-4-02,0.4535
LRP2,AUR-493-4-02,AUR-493-4-02,0.4535
ZDBF2,AUR-493-4-02,AUR-493-4-02,1.2625
FN1,AUR-493-4-02,AUR-493-4-02,0.8718
ATG16L1,AUR-493-4-02,AUR-493-4-02,-1.0975
TOP2B,AUR-493-4-02,AUR-493-4-02,0.6754
NBEAL2,AUR-493-4-02,AUR-493-4-02,-0.3651
COL7A1,AUR-493-4-02,AUR-493-4-02,-0.555
RYK,AUR-493-4-02,AUR-493-4-02,-0.1017
HLTF,AUR-493-4-02,AUR-493-4-02,-0.4142
WWTR1,AUR-493-4-02,AUR-493-4-02,0.8037
WDR49,AUR-493-4-02,AUR-493-4-02,0.153
SLC7A14,AUR-493-4-02,AUR-493-4-02,-0.8726
MUC20,AUR-493-4-02,AUR-493-4-02,-1.6714
CRMP1,AUR-493-4-02,AUR-493-4-02,0.4092
KLB,AUR-493-4-02,AUR-493-4-02,0.9075
CORIN,AUR-493-4-02,AUR-493-4-02,0.7633
HSD17B11,AUR-493-4-02,AUR-493-4-02,0.0572
ALPK1,AUR-493-4-02,AUR-493-4-02,-0.3642
TRPC3,AUR-493-4-02,AUR-493-4-02,0.5624
SETD7,AUR-493-4-02,AUR-493-4-02,-0.1149
PDCD6,AUR-493-4-02,AUR-493-4-02,-0.7455
ZDHHC11B,AUR-493-4-02,AUR-493-4-02,-1.3076
ZDHHC11B,AUR-493-4-02,AUR-493-4-02,-1.3076
GUSBP1,AUR-493-4-02,AUR-493-4-02,-1.6168
MEF2C,AUR-493-4-02,AUR-493-4-02,0.6441
KRT8P33,AUR-493-4-02,AUR-493-4-02,-0.6497
MEGF10,AUR-493-4-02,AUR-493-4-02,0.6001
MEGF10,AUR-493-4-02,AUR-493-4-02,0.6001
TENM2,AUR-493-4-02,AUR-493-4-02,0.806
GABRP,AUR-493-4-02,AUR-493-4-02,1.5056
CDHR2,AUR-493-4-02,AUR-493-4-02,-0.6791
HCG4B,AUR-493-4-02,AUR-493-4-02,-0.1971
TNXB,AUR-493-4-02,AUR-493-4-02,1.062
CMTR1,AUR-493-4-02,AUR-493-4-02,0.3849
