Hugo_Symbol,Sample_ID,Z_score,Is_Silenced
RNF207,AUR-493-4-02,-2.2452,True
EXOSC10,AUR-493-4-02,0.1218,False
NBPF1,AUR-493-4-02,0.1869,False
NBPF1,AUR-493-4-02,0.1869,False
NBPF1,AUR-493-4-02,0.1869,False
USP48,AUR-493-4-02,-0.1795,False
PDIK1L,AUR-493-4-02,0.308,False
LCK,AUR-493-4-02,1.8768,False
MYCBP,AUR-493-4-02,-1.2621,False
DMAP1,AUR-493-4-02,-1.7955,False
CYP4X1,AUR-493-4-02,-1.246,False
ROR1,AUR-493-4-02,1.1487,False
FNBP1L,AUR-493-4-02,0.7125,False
SEC63P1,AUR-493-4-02,-0.3429,False
MOV10,AUR-493-4-02,0.6242,False
NBPF26,AUR-493-4-02,0.3609,False
RNVU1-6,AUR-493-4-02,0.4459,False
NBPF12,AUR-493-4-02,1.0343,False
NBPF12,AUR-493-4-02,1.0343,False
NBPF11,AUR-493-4-02,0.3802,False
NBPF19,AUR-493-4-02,0.948,False
PRPF3,AUR-493-4-02,0.047,False
UBAP2L,AUR-493-4-02,0.989,False
MUC1,AUR-493-4-02,-2.335,True
PMF1,AUR-493-4-02,1.2645,False
HMCN1,AUR-493-4-02,0.6289,False
KCNT2,AUR-493-4-02,-0.2127,False
IPO9,AUR-493-4-02,0.7809,False
FAM177B,AUR-493-4-02,-0.3201,False
COA6,AUR-493-4-02,-0.0361,False
EDARADD,AUR-493-4-02,0.1568,False
MTR,AUR-493-4-02,1.3702,False
TFB2M,AUR-493-4-02,0.6269,False
ATAD2B,AUR-493-4-02,1.5297,False
EMILIN1,AUR-493-4-02,0.6679,False
MRPL19,AUR-493-4-02,2.153,False
TRABD2A,AUR-493-4-02,1.0699,False
ANKRD36C,AUR-493-4-02,0.309,False
GCC2,AUR-493-4-02,-0.553,False
NEB,AUR-493-4-02,-0.7271,False
LRP2,AUR-493-4-02,0.4535,False
LRP2,AUR-493-4-02,0.4535,False
ZDBF2,AUR-493-4-02,1.2625,False
FN1,AUR-493-4-02,0.8718,False
ATG16L1,AUR-493-4-02,-1.0975,False
TOP2B,AUR-493-4-02,0.6754,False
NBEAL2,AUR-493-4-02,-0.3651,False
COL7A1,AUR-493-4-02,-0.555,False
RYK,AUR-493-4-02,-0.1017,False
HLTF,AUR-493-4-02,-0.4142,False
WWTR1,AUR-493-4-02,0.8037,False
WDR49,AUR-493-4-02,0.153,False
SLC7A14,AUR-493-4-02,-0.8726,False
MUC20,AUR-493-4-02,-1.6714,False
CRMP1,AUR-493-4-02,0.4092,False
KLB,AUR-493-4-02,0.9075,False
CORIN,AUR-493-4-02,0.7633,False
HSD17B11,AUR-493-4-02,0.0572,False
ALPK1,AUR-493-4-02,-0.3642,False
TRPC3,AUR-493-4-02,0.5624,False
SETD7,AUR-493-4-02,-0.1149,False
PDCD6,AUR-493-4-02,-0.7455,False
ZDHHC11B,AUR-493-4-02,-1.3076,False
ZDHHC11B,AUR-493-4-02,-1.3076,False
GUSBP1,AUR-493-4-02,-1.6168,False
MEF2C,AUR-493-4-02,0.6441,False
KRT8P33,AUR-493-4-02,-0.6497,False
MEGF10,AUR-493-4-02,0.6001,False
MEGF10,AUR-493-4-02,0.6001,False
TENM2,AUR-493-4-02,0.806,False
GABRP,AUR-493-4-02,1.5056,False
CDHR2,AUR-493-4-02,-0.6791,False
HCG4B,AUR-493-4-02,-0.1971,False
TNXB,AUR-493-4-02,1.062,False
CMTR1,AUR-493-4-02,0.3849,False
L3MBTL3,AUR-493-4-02,0.9958,False
UST,AUR-493-4-02,0.14,False
INTS1,AUR-493-4-02,-0.6057,False
DAGLB,AUR-493-4-02,-1.1073,False
GRID2IP,AUR-493-4-02,-0.1823,False
MACC1,AUR-493-4-02,1.1059,False
AOAH,AUR-493-4-02,1.487,False
EGFR,AUR-493-4-02,1.0707,False
INTS4P2,AUR-493-4-02,-0.1105,False
DTX2,AUR-493-4-02,0.7614,False
GSAP,AUR-493-4-02,0.2875,False
SEMA3E,AUR-493-4-02,-0.3027,False
STEAP2,AUR-493-4-02,0.2315,False
DYNC1I1,AUR-493-4-02,0.3303,False
SLC25A13,AUR-493-4-02,0.3847,False
SPDYE2,AUR-493-4-02,0.5765,False
CEP41,AUR-493-4-02,0.1902,False
MGAM,AUR-493-4-02,-0.832,False
ZNF282,AUR-493-4-02,1.0992,False
ACTR3B,AUR-493-4-02,0.3372,False
DPP6,AUR-493-4-02,-0.7826,False
DOCK5,AUR-493-4-02,0.658,False
SARAF,AUR-493-4-02,-0.0372,False
SDC2,AUR-493-4-02,1.9491,False
HAUS6,AUR-493-4-02,0.4838,False
TJP2,AUR-493-4-02,0.8576,False
VPS13A,AUR-493-4-02,0.8173,False
EPB41L4B,AUR-493-4-02,1.7204,False
ZNF483,AUR-493-4-02,-0.1767,False
PPP1R26,AUR-493-4-02,-0.7592,False
AKR1C3,AUR-493-4-02,0.2746,False
YME1L1,AUR-493-4-02,1.558,False
CCDC7,AUR-493-4-02,-0.3519,False
FAM21FP,AUR-493-4-02,-0.499,False
AGAP7P,AUR-493-4-02,-0.3613,False
POLR3A,AUR-493-4-02,0.7391,False
BTAF1,AUR-493-4-02,1.077,False
HELLS,AUR-493-4-02,1.8149,False
PLEKHS1,AUR-493-4-02,0.0859,False
DOCK1,AUR-493-4-02,0.4079,False
TCP11L1,AUR-493-4-02,0.0058,False
DUSP16,AUR-493-4-02,0.0862,False
KANSL2,AUR-493-4-02,0.2138,False
