gene,N_mutations,N_silenced,ratio
AADAT,1,0,0.0
AAGAB,1,0,0.0
AAR2,1,0,0.0
AARD,1,0,0.0
ABALON,1,0,0.0
ABHD13,1,0,0.0
ABHD14B,1,0,0.0
ACER2,1,0,0.0
ACKR1,1,0,0.0
ACOT1,1,0,0.0
ACRV1,1,0,0.0
ACSF2,1,0,0.0
ACTA1,1,0,0.0
ACTG1P10,1,0,0.0
ACTG1P3,1,0,0.0
ACTR1A,1,0,0.0
ACTR6,1,0,0.0
ACVR1C,1,0,0.0
ADAL,1,0,0.0
ADAMTS1,1,0,0.0
ADAT2,1,0,0.0
ADI1,1,0,0.0
ADIPOQ,1,0,0.0
ADIRF,1,0,0.0
ADM,1,0,0.0
ADM2,1,0,0.0
ADORA2B,1,0,0.0
ADPGK,1,0,0.0
ADRM1,1,0,0.0
ADTRP,1,0,0.0
AFAP1-AS1,1,0,0.0
AFMID,1,0,0.0
AGA,1,0,0.0
AGMAT,1,0,0.0
AGPAT2,1,0,0.0
AHDC1,1,0,0.0
AIF1L,1,0,0.0
AIFM3,1,0,0.0
AIP,1,0,0.0
AK3P5,1,0,0.0
AKIRIN2,1,0,0.0
AKTIP,1,0,0.0
ALDH1B1,1,0,0.0
ALDH5A1,1,0,0.0
ALDOA,1,0,0.0
ALG10,1,0,0.0
ALG11,1,0,0.0
ALKBH3,1,0,0.0
ALKBH4,1,0,0.0
ALKBH5,1,0,0.0
ALKBH6,1,0,0.0
ALOX12P2,1,0,0.0
ALOX15,1,0,0.0
ALX4,1,0,0.0
AMMECR1L,1,0,0.0
AMN1,1,0,0.0
ANAPC15,1,0,0.0
ANG,1,0,0.0
ANKDD1B,1,0,0.0
ANKRA2,1,0,0.0
ANKRD33B,1,0,0.0
ANKZF1,1,0,0.0
ANXA2P2,1,0,0.0
AP1S1,1,0,0.0
AP5M1,1,0,0.0
APCDD1L,1,0,0.0
APEH,1,0,0.0
API5P1,1,0,0.0
APMAP,1,0,0.0
APOBEC3A,1,0,0.0
APOBEC3G,1,0,0.0
APOBR,1,0,0.0
APOC4-APOC2,1,0,0.0
ARF1,1,0,0.0
ARFRP1,1,0,0.0
ARHGAP1,1,0,0.0
ARHGAP22,1,0,0.0
ARHGEF16,1,0,0.0
ARHGEF5,1,0,0.0
ARL3,1,0,0.0
ARL4D,1,0,0.0
ARL8A,1,0,0.0
ARMC1,1,0,0.0
ARMCX6,1,0,0.0
ARPC3P1,1,0,0.0
ARPC4,1,0,0.0
ARPP19,1,0,0.0
ARRDC5,1,0,0.0
ASAH2B,1,0,0.0
ASCL2,1,0,0.0
ATF7,1,0,0.0
ATG10,1,0,0.0
ATG5,1,0,0.0
ATP6AP1L,1,0,0.0
ATP6V0B,1,0,0.0
ATP6V0C,1,0,0.0
ATP6V0E1,1,0,0.0
ATP6V1E2,1,0,0.0
ATP6V1F,1,0,0.0
ATP8A2P2,1,0,0.0
AURKAIP1,1,0,0.0
AURKB,1,0,0.0
AVPR2,1,0,0.0
AZIN1,1,0,0.0
B3GALT2,1,0,0.0
B3GALT5,1,0,0.0
B3GALT6,1,0,0.0
B3GAT3,1,0,0.0
B4GAT1,1,0,0.0
BAG3,1,0,0.0
BAG6,1,0,0.0
BAHCC1,1,0,0.0
BARX2,1,0,0.0
BASP1,1,0,0.0
BATF3,1,0,0.0
BCAT2,1,0,0.0
BCHE,1,0,0.0
BCL10,1,0,0.0
BCL2,1,0,0.0
BET1,1,0,0.0
BEX5,1,0,0.0
BLOC1S5,1,0,0.0
BLVRA,1,0,0.0
BMP1,1,0,0.0
BMP4,1,0,0.0
BMP6,1,0,0.0
BMP8A,1,0,0.0
BMS1P2,1,0,0.0
BNIP3P11,1,0,0.0
BPGM,1,0,0.0
BPHL,1,0,0.0
BRAT1,1,0,0.0
BRMS1,1,0,0.0
BSCL2,1,0,0.0
BSPRY,1,0,0.0
BTBD7P1,1,0,0.0
BTG2,1,0,0.0
C11orf98,1,0,0.0
C12orf73,1,0,0.0
C12orf75,1,0,0.0
C14orf119,1,0,0.0
C15orf61,1,0,0.0
C15orf62,1,0,0.0
C16orf54,1,0,0.0
C16orf74,1,0,0.0
C16orf86,1,0,0.0
C19orf12,1,0,0.0
C19orf18,1,0,0.0
C19orf47,1,0,0.0
C19orf53,1,0,0.0
C1GALT1C1,1,0,0.0
C1QA,1,0,0.0
C1QC,1,0,0.0
C1R,1,0,0.0
C1orf109,1,0,0.0
C1orf147,1,0,0.0
C1orf162,1,0,0.0
C1orf210,1,0,0.0
C1orf50,1,0,0.0
C1orf53,1,0,0.0
C1orf56,1,0,0.0
C21orf62,1,0,0.0
C2CD4B,1,0,0.0
C2CD4D,1,0,0.0
C2orf27A,1,0,0.0
C2orf50,1,0,0.0
C2orf68,1,0,0.0
C2orf76,1,0,0.0
C3orf62,1,0,0.0
C4orf33,1,0,0.0
C5AR1,1,0,0.0
C5orf38,1,0,0.0
C5orf46,1,0,0.0
C5orf51,1,0,0.0
C6orf223,1,0,0.0
C6orf226,1,0,0.0
C7orf26,1,0,0.0
C8orf37,1,0,0.0
C8orf82,1,0,0.0
C9orf153,1,0,0.0
C9orf163,1,0,0.0
CA8,1,0,0.0
CAB39L,1,0,0.0
CABYR,1,0,0.0
CACFD1,1,0,0.0
CALB2,1,0,0.0
CALM3,1,0,0.0
CALML3,1,0,0.0
CALML4,1,0,0.0
CAP1,1,0,0.0
CAP2,1,0,0.0
CAPN5,1,0,0.0
CASC15,1,0,0.0
CASP14,1,0,0.0
CBFA2T3,1,0,0.0
CBLC,1,0,0.0
CBWD1,1,0,0.0
CBWD2,1,0,0.0
CBWD5,1,0,0.0
CBX5,1,0,0.0
CCDC106,1,0,0.0
CCDC113,1,0,0.0
CCDC115,1,0,0.0
CCDC122,1,0,0.0
CCDC126,1,0,0.0
CCDC152,1,0,0.0
CCDC153,1,0,0.0
CCDC170,1,0,0.0
CCDC184,1,0,0.0
CCDC3,1,0,0.0
CCDC51,1,0,0.0
CCDC61,1,0,0.0
CCDC78,1,0,0.0
CCDC8,1,0,0.0
CCDC85C,1,0,0.0
CCDC86,1,0,0.0
CCDC92,1,0,0.0
CCDC97,1,0,0.0
CCL13,1,0,0.0
CCL28,1,0,0.0
CCL4,1,0,0.0
CCL8,1,0,0.0
CCM2L,1,0,0.0
CCNA2,1,0,0.0
CCNB1,1,0,0.0
CCND1,1,0,0.0
CCR2,1,0,0.0
CCR7,1,0,0.0
CCT6P3,1,0,0.0
CCZ1B,1,0,0.0
CD164L2,1,0,0.0
CD2,1,0,0.0
CD200R1,1,0,0.0
CD28,1,0,0.0
CD300A,1,0,0.0
CD300C,1,0,0.0
CD53,1,0,0.0
CD59,1,0,0.0
CD83,1,0,0.0
CD9,1,0,0.0
CDC26,1,0,0.0
CDC42EP2,1,0,0.0
CDC42EP3,1,0,0.0
CDCA8,1,0,0.0
CDIPT,1,0,0.0
CDK2AP2,1,0,0.0
CDK3,1,0,0.0
CDKN1A,1,0,0.0
CDKN1B,1,0,0.0
CDKN3,1,0,0.0
CDO1,1,0,0.0
CDR2L,1,0,0.0
CDRT4,1,0,0.0
CENPBD1,1,0,0.0
CENPBD1P1,1,0,0.0
CENPQ,1,0,0.0
CERK,1,0,0.0
CETN2,1,0,0.0
CHAC1,1,0,0.0
CHCHD7,1,0,0.0
CHKA,1,0,0.0
CHKB,1,0,0.0
CHMP1B2P,1,0,0.0
CHRNA10,1,0,0.0
CHRNA7,1,0,0.0
CHST2,1,0,0.0
CHST6,1,0,0.0
CHTF8,1,0,0.0
CIART,1,0,0.0
CIB1,1,0,0.0
CIDEC,1,0,0.0
CIR1,1,0,0.0
CITED2,1,0,0.0
CKAP4,1,0,0.0
CLDN15,1,0,0.0
CLDN3,1,0,0.0
CLEC18B,1,0,0.0
CLEC2B,1,0,0.0
CLEC4F,1,0,0.0
CLIC4,1,0,0.0
CLIC6,1,0,0.0
CLN6,1,0,0.0
CLN8,1,0,0.0
CLTB,1,0,0.0
CLU,1,0,0.0
CMAHP,1,0,0.0
CMC2,1,0,0.0
CMC4,1,0,0.0
CMTR2,1,0,0.0
CNKSR1,1,0,0.0
CNOT7,1,0,0.0
CNOT8,1,0,0.0
CNPY4,1,0,0.0
CNTD1,1,0,0.0
COA3,1,0,0.0
COLCA2,1,0,0.0
COMMD4,1,0,0.0
COQ4,1,0,0.0
COX16,1,0,0.0
COX18,1,0,0.0
COX6B2,1,0,0.0
COX6C,1,0,0.0
CPA4,1,0,0.0
CPB2-AS1,1,0,0.0
CPEB2,1,0,0.0
CRABP2,1,0,0.0
CREB3,1,0,0.0
CREB3L2,1,0,0.0
CREB3L4,1,0,0.0
CREBL2,1,0,0.0
CRHR1,1,0,0.0
CRIPT,1,0,0.0
CRLF3,1,0,0.0
CRYAB,1,0,0.0
CRYGN,1,0,0.0
CSPG4P12,1,0,0.0
CSRNP2,1,0,0.0
CST7,1,0,0.0
CTNNBIP1,1,0,0.0
CTSD,1,0,0.0
CTSK,1,0,0.0
CTU2,1,0,0.0
CWC25,1,0,0.0
CXCL14,1,0,0.0
CXCL8,1,0,0.0
CXCR2,1,0,0.0
CXCR2P1,1,0,0.0
CXCR4,1,0,0.0
CXCR6,1,0,0.0
CXXC1,1,0,0.0
CYB561D2,1,0,0.0
CYB5RL,1,0,0.0
CYBA,1,0,0.0
CYP2E1,1,0,0.0
CYP2U1,1,0,0.0
CYP4F23P,1,0,0.0
CYTH2,1,0,0.0
CYTL1,1,0,0.0
DALRD3,1,0,0.0
DAP,1,0,0.0
DBF4P1,1,0,0.0
DBNDD1,1,0,0.0
DBNDD2,1,0,0.0
DBNL,1,0,0.0
DCAF4,1,0,0.0
DCLRE1B,1,0,0.0
DCTD,1,0,0.0
DCTN3,1,0,0.0
DCUN1D2,1,0,0.0
DDA1,1,0,0.0
DDIT4,1,0,0.0
DDIT4L,1,0,0.0
DDX20,1,0,0.0
DDX49,1,0,0.0
DEDD,1,0,0.0
DEGS1,1,0,0.0
DEK,1,0,0.0
DERA,1,0,0.0
DET1,1,0,0.0
DGAT2,1,0,0.0
DGCR6L,1,0,0.0
DHPS,1,0,0.0
DHRS11,1,0,0.0
DHRS7,1,0,0.0
DIMT1,1,0,0.0
DIRC3,1,0,0.0
DLK2,1,0,0.0
DLX4,1,0,0.0
DLX5,1,0,0.0
DLX6-AS1,1,0,0.0
DMRT3,1,0,0.0
DNAJA3,1,0,0.0
DNAJB2,1,0,0.0
DNAJB4,1,0,0.0
DNAJC24,1,0,0.0
DNAJC5B,1,0,0.0
DNAJC9-AS1,1,0,0.0
DNAL4,1,0,0.0
DND1P1,1,0,0.0
DNM1P35,1,0,0.0
DNM1P46,1,0,0.0
DOK1,1,0,0.0
