gene,Consistency_Category,Mean_Percent,Ratio_Diff,CPTAC_Percent,AURORA_Percent,CPTAC_Mutations,AURORA_Mutations
CEP350,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,34
AKAP13,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,33
FBN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,32
ASCC3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,28
MYOF,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,27
TRIP12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,25
UBR2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,26
KMT2A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,24
ARID1A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,23
TNRC6A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,24
LEPR,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,24
NOTCH2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,23
DOCK10,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,23
SPTBN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,22
CEP250,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,21
SLC4A2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,20
TEP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,19
IFT140,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,20
DENND4C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,21
ARHGEF11,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,20
ARHGEF12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,20
DOCK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,19
RIF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,19
MON2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
GNAS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
STAB1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,16
RECQL5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,18
SCRIB,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,18
VPS8,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,17
ZNF638,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,14
GATA3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,8,11
CD163L1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
LAMB1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
XRN2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,15
CELSR2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,14
SMARCA2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
SIPA1L3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,13
DDR1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,16
ZNF106,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,14
MLLT10,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
PIK3C2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
CABIN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
SETD1A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
TAF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
INO80,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,15
BRD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
DCTN1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
DAPK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,14
R3HDM2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
SLC25A13,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
KMT2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
TAOK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
SETD1B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,10
CSPP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
PTPRS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
ARHGAP39,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,13
CPSF1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,12
ZNF185,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
C6orf132,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,9
MEGF6,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
PRRC2B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
PARP9,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DOT1L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,10
ERBB3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
TONSL,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DENND4B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
ANKMY1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
CTTN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
SIPA1L1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
DLG5,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,11
TNPO3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
KAZN,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,12
ANKRD11,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,8
SH3TC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
KDM5C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
ARHGAP35,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
NUMA1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,9
IKBKE,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
MORC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,11
ACTN4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
AP2A2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
SON,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
SCMH1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
NES,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
ROCK1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,7
TOR1AIP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
TTLL4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
BCOR,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
SEC16A,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
GRB7,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
CUL4B,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,8
CEP120,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,8
BCL9L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,10
EHBP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,9
FAM120C,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
RSAD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
PELP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
SUZ12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
WDTC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
B4GALNT4,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
RB1CC1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
DDX50,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
SSRP1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
GOLGA3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
CASD1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
ERBB2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
TMEM214,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
MRC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
SP3,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
LRIG1,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
WDR26,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
MRPS27,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
ADAM19,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,8
NID2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,9
DDX42,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,6,5
CDK12,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,5,6
ZNF496,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,4,7
GALNS,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
GPRASP2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
KIFC2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
USP21,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
KIAA0319L,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
STAG2,1. Highly Consistent & Exposed,0.0,0.0,0.0,0.0,3,8
