Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
TTN,0,0,0,0,12,2,0,0,0,14
ABCA13,0,0,0,0,10,2,0,0,0,12
MUC16,0,0,0,0,11,0,0,0,0,11
RYR1,1,0,0,0,8,1,0,0,0,10
RYR2,0,0,0,0,7,2,0,0,0,9
SPTA1,0,0,0,0,9,0,0,0,0,9
FSIP2,1,0,0,0,7,0,0,0,0,8
OBSCN,0,0,0,0,8,0,0,0,0,8
ZFHX4,0,1,0,0,6,1,0,0,0,8
BAI1,1,0,0,0,7,0,0,0,0,8
TENM4,0,0,0,0,8,0,0,0,0,8
STARD9,0,0,1,0,7,0,0,0,0,8
DNAH9,0,0,0,0,7,0,0,0,0,7
FAT2,1,0,0,0,4,2,0,0,0,7
FAT4,0,0,0,0,6,1,0,0,0,7
FAT3,1,0,0,0,5,1,0,0,0,7
CCDC168,0,0,0,0,6,1,0,0,0,7
PRDM16,0,0,0,0,6,0,0,1,0,7
CACNA1E,0,0,0,0,7,0,0,0,0,7
RIMS1,0,0,0,0,7,0,0,0,0,7
PKHD1,1,0,0,0,4,2,0,0,0,7
FREM2,0,0,0,0,7,0,0,0,0,7
PCLO,0,0,0,0,7,0,0,0,0,7
ZNF831,0,0,0,0,7,0,0,0,0,7
MUC5B,0,0,0,0,7,0,0,0,0,7
PKHD1L1,0,0,0,0,6,1,0,0,0,7
PTPRO,0,0,0,0,4,1,0,1,0,6
FRAS1,0,0,0,0,6,0,0,0,0,6
COL6A6,0,0,0,0,6,0,0,0,0,6
ZNF469,0,0,0,0,5,1,0,0,0,6
KIF21B,0,0,0,0,6,0,0,0,0,6
LRP1B,0,0,0,0,6,0,0,0,0,6
ANK2,0,0,0,0,6,0,0,0,0,6
RELN,0,0,0,0,5,1,0,0,0,6
RGAG1,0,0,0,0,6,0,0,0,0,6
UMODL1,0,0,0,0,5,1,0,0,0,6
KIAA1549,0,0,0,0,6,0,0,0,0,6
LRRC66,0,1,0,0,3,1,0,0,0,5
PRUNE2,0,0,0,0,5,0,0,0,0,5
COL4A4,0,0,0,0,5,0,0,0,0,5
FMN2,0,0,0,0,5,0,0,0,0,5
FLNC,0,0,0,0,3,0,0,2,0,5
GRIK2,0,1,0,0,4,0,0,0,0,5
PTPRD,0,0,0,0,5,0,0,0,0,5
RP1L1,1,0,0,0,4,0,0,0,0,5
SCN2A,1,0,0,0,3,1,0,0,0,5
PCDHA6,0,0,0,0,5,0,0,0,0,5
EXPH5,1,0,0,0,4,0,0,0,0,5
OTOGL,1,1,0,0,3,0,0,0,0,5
NUP210L,0,0,0,0,5,0,0,0,0,5
AKAP6,0,0,0,0,5,0,0,0,0,5
USH2A,0,0,0,0,5,0,0,0,0,5
NEB,0,0,0,0,5,0,0,0,0,5
KIAA1875,1,0,0,0,4,0,0,0,0,5
HMCN1,0,0,0,0,5,0,0,0,0,5
BSN,0,0,0,0,4,1,0,0,0,5
BNC2,0,0,0,0,5,0,0,0,0,5
DNAH3,0,0,0,0,4,1,0,0,0,5
KIF26B,0,0,1,0,4,0,0,0,0,5
MYO7B,0,0,0,0,4,0,0,1,0,5
DNAH7,0,0,0,0,5,0,0,0,0,5
ZFHX3,1,0,0,0,3,1,0,0,0,5
FILIP1,0,0,0,0,4,0,0,0,0,4
FHDC1,0,0,0,0,4,0,0,0,0,4
EPHB1,0,0,0,0,4,0,0,0,0,4
GPRASP1,0,0,0,0,4,0,0,0,0,4
GLIS3,0,0,0,0,4,0,0,0,0,4
GPR98,1,0,0,0,3,0,0,0,0,4
ACTN2,0,0,0,0,4,0,0,0,0,4
LPA,1,0,0,0,3,0,0,0,0,4
LRP2,0,0,0,0,4,0,0,0,0,4
KCNB1,0,0,0,0,4,0,0,0,0,4
KIAA1614,0,0,0,0,4,0,0,0,0,4
KIAA1549L,0,0,0,0,2,2,0,0,0,4
KCNT2,0,0,0,0,2,1,0,1,0,4
ADAMTS5,0,0,0,0,4,0,0,0,0,4
IGSF9B,0,0,0,0,3,1,0,0,0,4
HRC,0,0,0,0,4,0,0,0,0,4
HUNK,0,0,0,0,4,0,0,0,0,4
IGSF1,0,0,0,0,4,0,0,0,0,4
OPHN1,0,0,0,0,3,1,0,0,0,4
NOS2,0,0,0,0,4,0,0,0,0,4
NPAS3,0,0,0,0,4,0,0,0,0,4
NRXN1,0,0,0,0,4,0,0,0,0,4
NBEA,0,0,0,0,3,1,0,0,0,4
COL6A5,0,0,0,0,3,1,0,0,0,4
USHBP1,0,0,0,0,4,0,0,0,0,4
ALDH1L1,0,0,0,0,4,0,0,0,0,4
MYRF,0,0,0,0,3,1,0,0,0,4
WDFY4,0,0,0,0,4,0,0,0,0,4
VWDE,0,0,0,0,3,1,0,0,0,4
CUBN,0,0,0,0,4,0,0,0,0,4
MYH15,0,0,0,0,3,1,0,0,0,4
