Hugo_Symbol,Total_Mutations,Silenced_Count,Expressed_Count,Silenced_Percent
TTN,14,14,0,100.0
ABCA13,12,12,0,100.0
RYR2,9,9,0,100.0
SPTA1,9,9,0,100.0
BAI1,8,8,0,100.0
FSIP2,8,8,0,100.0
STARD9,8,8,0,100.0
CACNA1E,7,7,0,100.0
CCDC168,7,7,0,100.0
FAT2,7,7,0,100.0
FAT3,7,7,0,100.0
FAT4,7,7,0,100.0
FREM2,7,7,0,100.0
PKHD1,7,7,0,100.0
PKHD1L1,7,7,0,100.0
PRDM16,7,7,0,100.0
RIMS1,7,7,0,100.0
ZNF831,7,7,0,100.0
COL6A6,6,6,0,100.0
FRAS1,6,6,0,100.0
LRP1B,6,6,0,100.0
PTPRO,6,6,0,100.0
RELN,6,6,0,100.0
RGAG1,6,6,0,100.0
UMODL1,6,6,0,100.0
ZNF469,6,6,0,100.0
AKAP6,5,5,0,100.0
BNC2,5,5,0,100.0
BSN,5,5,0,100.0
COL4A4,5,5,0,100.0
DNAH3,5,5,0,100.0
DNAH7,5,5,0,100.0
EXPH5,5,5,0,100.0
FMN2,5,5,0,100.0
GRIK2,5,5,0,100.0
KIAA1875,5,5,0,100.0
LRRC66,5,5,0,100.0
MYO7B,5,5,0,100.0
NEB,5,5,0,100.0
NUP210L,5,5,0,100.0
OTOGL,5,5,0,100.0
PRUNE2,5,5,0,100.0
RP1L1,5,5,0,100.0
SCN2A,5,5,0,100.0
USH2A,5,5,0,100.0
ACTN2,4,4,0,100.0
ADAMTS18,4,4,0,100.0
ADAMTS3,4,4,0,100.0
ADAMTS5,4,4,0,100.0
ADAMTS9,4,4,0,100.0
ADAMTSL1,4,4,0,100.0
ALDH1L1,4,4,0,100.0
APBA1,4,4,0,100.0
APOB,4,4,0,100.0
CCDC135,4,4,0,100.0
CCDC141,4,4,0,100.0
CCDC178,4,4,0,100.0
COL6A5,4,4,0,100.0
CTTNBP2,4,4,0,100.0
CUBN,4,4,0,100.0
DLGAP1,4,4,0,100.0
DNAH6,4,4,0,100.0
EPHB1,4,4,0,100.0
FHDC1,4,4,0,100.0
FILIP1,4,4,0,100.0
FREM1,4,4,0,100.0
GLIS3,4,4,0,100.0
GPRASP1,4,4,0,100.0
HRC,4,4,0,100.0
HUNK,4,4,0,100.0
IGSF1,4,4,0,100.0
KCNB1,4,4,0,100.0
KCNT2,4,4,0,100.0
KIAA1549L,4,4,0,100.0
LAMA1,4,4,0,100.0
LPA,4,4,0,100.0
MAMLD1,4,4,0,100.0
MMP16,4,4,0,100.0
MYBPC2,4,4,0,100.0
MYH15,4,4,0,100.0
MYH6,4,4,0,100.0
MYO16,4,4,0,100.0
MYRF,4,4,0,100.0
NOS2,4,4,0,100.0
NPAS3,4,4,0,100.0
NRXN1,4,4,0,100.0
OPHN1,4,4,0,100.0
PCDH19,4,4,0,100.0
PLXNA2,4,4,0,100.0
PLXNA4,4,4,0,100.0
PRDM8,4,4,0,100.0
RP1,4,4,0,100.0
RUNX1T1,4,4,0,100.0
SEMA5A,4,4,0,100.0
SLC25A47,4,4,0,100.0
SLCO1C1,4,4,0,100.0
ST18,4,4,0,100.0
TENM3,4,4,0,100.0
THSD7B,4,4,0,100.0
TMEM132C,4,4,0,100.0
TMEM132E,4,4,0,100.0
TNR,4,4,0,100.0
TTBK1,4,4,0,100.0
USHBP1,4,4,0,100.0
WDR87,4,4,0,100.0
ABCA9,3,3,0,100.0
ABCC2,3,3,0,100.0
ABCC8,3,3,0,100.0
ADAM21,3,3,0,100.0
ADAM22,3,3,0,100.0
ADAMTS17,3,3,0,100.0
ADAMTS19,3,3,0,100.0
ADARB2,3,3,0,100.0
ADRA2C,3,3,0,100.0
AFF2,3,3,0,100.0
AFF3,3,3,0,100.0
AGT,3,3,0,100.0
ANGPT4,3,3,0,100.0
ANKFN1,3,3,0,100.0
ANKRD31,3,3,0,100.0
ANKRD33B,3,3,0,100.0
ANKRD35,3,3,0,100.0
ANO5,3,3,0,100.0
ARRDC5,3,3,0,100.0
ASXL3,3,3,0,100.0
ATP1A2,3,3,0,100.0
ATP2B2,3,3,0,100.0
ATP4A,3,3,0,100.0
BMX,3,3,0,100.0
BRINP1,3,3,0,100.0
C1orf95,3,3,0,100.0
C3orf20,3,3,0,100.0
CACNA1G,3,3,0,100.0
CCDC158,3,3,0,100.0
CCIN,3,3,0,100.0
CCNB3,3,3,0,100.0
CELSR3,3,3,0,100.0
CHD5,3,3,0,100.0
CHRNB2,3,3,0,100.0
CHSY3,3,3,0,100.0
CLTCL1,3,3,0,100.0
CNKSR2,3,3,0,100.0
CNTN3,3,3,0,100.0
COL11A1,3,3,0,100.0
COL19A1,3,3,0,100.0
CRB1,3,3,0,100.0
DAB1,3,3,0,100.0
DCAF8L2,3,3,0,100.0
DCC,3,3,0,100.0
DDC,3,3,0,100.0
DENND2A,3,3,0,100.0
DENND5B,3,3,0,100.0
DISP2,3,3,0,100.0
DMBT1,3,3,0,100.0
DMD,3,3,0,100.0
DNAH10,3,3,0,100.0
DNAH8,3,3,0,100.0
DPEP3,3,3,0,100.0
DPYSL5,3,3,0,100.0
DSCAM,3,3,0,100.0
EYA2,3,3,0,100.0
FAM228A,3,3,0,100.0
FBN2,3,3,0,100.0
FCGBP,3,3,0,100.0
FLG,3,3,0,100.0
FRMPD1,3,3,0,100.0
GALNT5,3,3,0,100.0
GCSAML,3,3,0,100.0
GDF10,3,3,0,100.0
GPR158,3,3,0,100.0
GPR179,3,3,0,100.0
GPR64,3,3,0,100.0
GRIA2,3,3,0,100.0
GRM1,3,3,0,100.0
GRM5,3,3,0,100.0
GRM8,3,3,0,100.0
GUCY1A2,3,3,0,100.0
GYG2,3,3,0,100.0
HECW1,3,3,0,100.0
IQSEC3,3,3,0,100.0
JPH2,3,3,0,100.0
KCNH1,3,3,0,100.0
KCNH4,3,3,0,100.0
KIAA1211,3,3,0,100.0
KIAA1958,3,3,0,100.0
KIAA2022,3,3,0,100.0
KIRREL3,3,3,0,100.0
KIT,3,3,0,100.0
KL,3,3,0,100.0
KLHL4,3,3,0,100.0
LEFTY1,3,3,0,100.0
LGI4,3,3,0,100.0
LONRF3,3,3,0,100.0
LPHN3,3,3,0,100.0
MAP1A,3,3,0,100.0
MCIDAS,3,3,0,100.0
MID1,3,3,0,100.0
MN1,3,3,0,100.0
MOV10L1,3,3,0,100.0
MUC17,3,3,0,100.0
MYBPC1,3,3,0,100.0
MYCBPAP,3,3,0,100.0
MYO15A,3,3,0,100.0
MYO18B,3,3,0,100.0
MYOM1,3,3,0,100.0
MYRIP,3,3,0,100.0
NACAD,3,3,0,100.0
NAV3,3,3,0,100.0
NCAN,3,3,0,100.0
NEK10,3,3,0,100.0
NLGN1,3,3,0,100.0
NLRP12,3,3,0,100.0
NLRP3,3,3,0,100.0
NLRP7,3,3,0,100.0
NMUR1,3,3,0,100.0
NTNG2,3,3,0,100.0
NWD1,3,3,0,100.0
NYAP1,3,3,0,100.0
OTOF,3,3,0,100.0
OTX1,3,3,0,100.0
PALD1,3,3,0,100.0
PAPPA,3,3,0,100.0
PAPPA2,3,3,0,100.0
PCDH10,3,3,0,100.0
PCDH11X,3,3,0,100.0
PCDH9,3,3,0,100.0
PCDHB12,3,3,0,100.0
PCDHB13,3,3,0,100.0
PCDHB14,3,3,0,100.0
PCDHB15,3,3,0,100.0
PCSK5,3,3,0,100.0
PDE1C,3,3,0,100.0
PDE3A,3,3,0,100.0
PITPNM3,3,3,0,100.0
PIWIL1,3,3,0,100.0
PLCB1,3,3,0,100.0
POU5F1B,3,3,0,100.0
PRDM6,3,3,0,100.0
PRR7,3,3,0,100.0
PTCH1,3,3,0,100.0
PTCHD2,3,3,0,100.0
PXDNL,3,3,0,100.0
PZP,3,3,0,100.0
RAG1,3,3,0,100.0
RET,3,3,0,100.0
RHBG,3,3,0,100.0
RIMKLA,3,3,0,100.0
RNF148,3,3,0,100.0
SCN4A,3,3,0,100.0
SCN5A,3,3,0,100.0
SCN9A,3,3,0,100.0
SCUBE3,3,3,0,100.0
SEMA3D,3,3,0,100.0
SEMA5B,3,3,0,100.0
SH3RF3,3,3,0,100.0
SHANK1,3,3,0,100.0
SHROOM2,3,3,0,100.0
SKIDA1,3,3,0,100.0
SLC6A17,3,3,0,100.0
SSC5D,3,3,0,100.0
STK33,3,3,0,100.0
TCHH,3,3,0,100.0
TCTE1,3,3,0,100.0
TENM1,3,3,0,100.0
TNFSF9,3,3,0,100.0
TNN,3,3,0,100.0
TNXB,3,3,0,100.0
TRPC4,3,3,0,100.0
TRPC6,3,3,0,100.0
TRPM3,3,3,0,100.0
UNC13A,3,3,0,100.0
UNC80,3,3,0,100.0
VWA3A,3,3,0,100.0
VWA3B,3,3,0,100.0
VWCE,3,3,0,100.0
XIRP1,3,3,0,100.0
ZBTB49,3,3,0,100.0
ZKSCAN2,3,3,0,100.0
ZNF385D,3,3,0,100.0
ZNF541,3,3,0,100.0
ZNF844,3,3,0,100.0
RYR1,11,10,1,90.9090909090909
TENM4,9,8,1,88.88888888888889
ZFHX4,9,8,1,88.88888888888889
DNAH9,8,7,1,87.5
KIAA1549,7,6,1,85.71428571428571
KIF21B,7,6,1,85.71428571428571
FLNC,6,5,1,83.33333333333334
KIF26B,6,5,1,83.33333333333334
PCDHA6,6,5,1,83.33333333333334
PTPRD,6,5,1,83.33333333333334
ADAMTSL3,5,4,1,80.0
ALPK2,5,4,1,80.0
CCDC108,5,4,1,80.0
DNAH5,5,4,1,80.0
EGFLAM,5,4,1,80.0
IGSF9B,5,4,1,80.0
KIAA1614,5,4,1,80.0
NBEA,5,4,1,80.0
PANX2,5,4,1,80.0
PIEZO2,5,4,1,80.0
PKD1L1,5,4,1,80.0
TBX18,5,4,1,80.0
TLE4,5,4,1,80.0
TSHZ3,5,4,1,80.0
VWDE,5,4,1,80.0
PCLO,9,7,2,77.77777777777779
ANK2,8,6,2,75.0
ABCB1,4,3,1,75.0
ADAMTS16,4,3,1,75.0
ADCY2,4,3,1,75.0
CACNA2D1,4,3,1,75.0
CUX2,4,3,1,75.0
FANCM,4,3,1,75.0
FRY,4,3,1,75.0
GREB1L,4,3,1,75.0
MUC12,4,3,1,75.0
MYO7A,4,3,1,75.0
NHS,4,3,1,75.0
NLGN4X,4,3,1,75.0
PDE3B,4,3,1,75.0
PEG3,4,3,1,75.0
PLAG1,4,3,1,75.0
PLB1,4,3,1,75.0
PREX2,4,3,1,75.0
PTCH2,4,3,1,75.0
SCN7A,4,3,1,75.0
STX11,4,3,1,75.0
TTC28,4,3,1,75.0
TUBAL3,4,3,1,75.0
ZNF630,4,3,1,75.0
MUC16,15,11,4,73.33333333333333
ZFHX3,7,5,2,71.42857142857143
MUC5B,10,7,3,70.0
PLCE1,6,4,2,66.66666666666666
SPTBN5,6,4,2,66.66666666666666
TNRC6C,6,4,2,66.66666666666666
ABCA8,3,2,1,66.66666666666666
ADAM23,3,2,1,66.66666666666666
ADAMTS7,3,2,1,66.66666666666666
AKAP12,3,2,1,66.66666666666666
ANK1,3,2,1,66.66666666666666
ANKRD6,3,2,1,66.66666666666666
AR,3,2,1,66.66666666666666
ARAP3,3,2,1,66.66666666666666
ATP1A3,3,2,1,66.66666666666666
BANK1,3,2,1,66.66666666666666
BCL11B,3,2,1,66.66666666666666
BRIP1,3,2,1,66.66666666666666
C15orf52,3,2,1,66.66666666666666
C5,3,2,1,66.66666666666666
CAPN9,3,2,1,66.66666666666666
CASZ1,3,2,1,66.66666666666666
CCSER1,3,2,1,66.66666666666666
CD19,3,2,1,66.66666666666666
CDHR3,3,2,1,66.66666666666666
CEP72,3,2,1,66.66666666666666
CHRDL1,3,2,1,66.66666666666666
COL22A1,3,2,1,66.66666666666666
COL2A1,3,2,1,66.66666666666666
CXorf23,3,2,1,66.66666666666666
DCLK2,3,2,1,66.66666666666666
EGF,3,2,1,66.66666666666666
ERBB4,3,2,1,66.66666666666666
EVA1C,3,2,1,66.66666666666666
FAM160A1,3,2,1,66.66666666666666
FAM65B,3,2,1,66.66666666666666
FCRL5,3,2,1,66.66666666666666
FHAD1,3,2,1,66.66666666666666
FLRT2,3,2,1,66.66666666666666
GABRE,3,2,1,66.66666666666666
GAREML,3,2,1,66.66666666666666
GJC2,3,2,1,66.66666666666666
GLTSCR1,3,2,1,66.66666666666666
GPR115,3,2,1,66.66666666666666
GREB1,3,2,1,66.66666666666666
GRHL3,3,2,1,66.66666666666666
HECW2,3,2,1,66.66666666666666
HSPA12A,3,2,1,66.66666666666666
ICAM5,3,2,1,66.66666666666666
IGSF10,3,2,1,66.66666666666666
ITGA2B,3,2,1,66.66666666666666
ITIH6,3,2,1,66.66666666666666
KIF26A,3,2,1,66.66666666666666
KIF7,3,2,1,66.66666666666666
LIPE,3,2,1,66.66666666666666
LMOD1,3,2,1,66.66666666666666
LRRIQ1,3,2,1,66.66666666666666
LZTS3,3,2,1,66.66666666666666
MAML3,3,2,1,66.66666666666666
MAP1B,3,2,1,66.66666666666666
MECOM,3,2,1,66.66666666666666
MGAM,3,2,1,66.66666666666666
NACC2,3,2,1,66.66666666666666
NALCN,3,2,1,66.66666666666666
NBEAL1,3,2,1,66.66666666666666
NCAM2,3,2,1,66.66666666666666
NOS3,3,2,1,66.66666666666666
PLCD3,3,2,1,66.66666666666666
PLD4,3,2,1,66.66666666666666
PLEKHG1,3,2,1,66.66666666666666
RAB11FIP4,3,2,1,66.66666666666666
RBM11,3,2,1,66.66666666666666
SALL2,3,2,1,66.66666666666666
SARDH,3,2,1,66.66666666666666
SIPA1L2,3,2,1,66.66666666666666
SLC28A3,3,2,1,66.66666666666666
SOAT2,3,2,1,66.66666666666666
SOX11,3,2,1,66.66666666666666
SPTBN4,3,2,1,66.66666666666666
SSTR2,3,2,1,66.66666666666666
STEAP2,3,2,1,66.66666666666666
STOX2,3,2,1,66.66666666666666
TBC1D32,3,2,1,66.66666666666666
TGFBR3,3,2,1,66.66666666666666
THBS4,3,2,1,66.66666666666666
TNNI2,3,2,1,66.66666666666666
TNRC6B,3,2,1,66.66666666666666
TPH1,3,2,1,66.66666666666666
TSHZ1,3,2,1,66.66666666666666
VASH2,3,2,1,66.66666666666666
ZBTB20,3,2,1,66.66666666666666
ZFPM1,3,2,1,66.66666666666666
ZIM2,3,2,1,66.66666666666666
OBSCN,13,8,5,61.53846153846154
CACNA1A,5,3,2,60.0
CCDC136,5,3,2,60.0
CLIP2,5,3,2,60.0
KIAA1244,5,3,2,60.0
SACS,5,3,2,60.0
SPEG,5,3,2,60.0
TECTA,5,3,2,60.0
WDR96,5,3,2,60.0
TLN2,7,4,3,57.14285714285714
WDFY4,7,4,3,57.14285714285714
LRP2,8,4,4,50.0
AHDC1,6,3,3,50.0
SRGAP1,6,3,3,50.0
ACACB,4,2,2,50.0
ARHGAP22,4,2,2,50.0
ATP8A1,4,2,2,50.0
BRCA2,4,2,2,50.0
BTBD8,4,2,2,50.0
C1orf106,4,2,2,50.0
CEP112,4,2,2,50.0
CHD7,4,2,2,50.0
DNHD1,4,2,2,50.0
HCN3,4,2,2,50.0
IL21R,4,2,2,50.0
MAGEE1,4,2,2,50.0
PCDH1,4,2,2,50.0
PPP1R3F,4,2,2,50.0
SHANK2,4,2,2,50.0
SPOCD1,4,2,2,50.0
ZFPM2,4,2,2,50.0
ZNF215,4,2,2,50.0
ZNF521,4,2,2,50.0
