Tumor_Sample_Barcode,Group,Hugo_Symbol,Expression_FPKM
CPT001846,High Silencing,B2M,10.8256
CPT001846,High Silencing,HLAA,10.5616
CPT001846,High Silencing,HLAB,10.2631
CPT001846,High Silencing,HLAC,8.8333
X01BR001,High Silencing,B2M,9.9929
X01BR001,High Silencing,HLAA,9.0936
X01BR001,High Silencing,HLAB,10.2574
X01BR001,High Silencing,HLAC,10.2574
X01BR008,High Silencing,B2M,12.3479
X01BR008,High Silencing,HLAA,
X01BR008,High Silencing,HLAB,12.2885
X01BR008,High Silencing,HLAC,12.2885
X01BR015,Low Silencing,B2M,11.4012
X01BR015,Low Silencing,HLAA,10.3275
X01BR015,Low Silencing,HLAB,11.1097
X01BR015,Low Silencing,HLAC,11.1097
X01BR018,Low Silencing,B2M,12.0411
X01BR018,Low Silencing,HLAA,10.6385
X01BR018,Low Silencing,HLAB,11.2672
X01BR018,Low Silencing,HLAC,11.2672
X01BR020,Low Silencing,B2M,11.3433
X01BR020,Low Silencing,HLAA,9.723
X01BR020,Low Silencing,HLAB,10.7385
X01BR020,Low Silencing,HLAC,10.7385
X01BR023,Low Silencing,B2M,9.1713
X01BR023,Low Silencing,HLAA,7.2089
X01BR023,Low Silencing,HLAB,9.0899
X01BR023,Low Silencing,HLAC,9.0899
X01BR025,High Silencing,B2M,10.9691
X01BR025,High Silencing,HLAA,8.2929
X01BR025,High Silencing,HLAB,9.1537
X01BR025,High Silencing,HLAC,9.1537
X01BR040,Low Silencing,B2M,12.428
X01BR040,Low Silencing,HLAA,11.787
X01BR040,Low Silencing,HLAB,
X01BR040,Low Silencing,HLAC,
X01BR043,High Silencing,B2M,11.8617
X01BR043,High Silencing,HLAA,10.3997
X01BR043,High Silencing,HLAB,10.6589
X01BR043,High Silencing,HLAC,10.6589
X03BR005,Low Silencing,B2M,10.9397
X03BR005,Low Silencing,HLAA,9.1124
X03BR005,Low Silencing,HLAB,10.3043
X03BR005,Low Silencing,HLAC,10.3043
X03BR013,Low Silencing,B2M,11.2982
X03BR013,Low Silencing,HLAA,9.1065
X03BR013,Low Silencing,HLAB,10.5963
X03BR013,Low Silencing,HLAC,10.5963
X05BR001,High Silencing,B2M,12.4799
X05BR001,High Silencing,HLAA,9.8534
X05BR001,High Silencing,HLAB,11.1551
X05BR001,High Silencing,HLAC,11.1551
X05BR004,Low Silencing,B2M,10.7333
X05BR004,Low Silencing,HLAA,8.3443
X05BR004,Low Silencing,HLAB,9.2184
X05BR004,Low Silencing,HLAC,9.2184
X05BR026,High Silencing,B2M,11.2416
X05BR026,High Silencing,HLAA,9.2031
X05BR026,High Silencing,HLAB,10.3821
X05BR026,High Silencing,HLAC,10.3821
X05BR042,High Silencing,B2M,10.655
X05BR042,High Silencing,HLAA,9.7765
X05BR042,High Silencing,HLAB,10.3107
X05BR042,High Silencing,HLAC,10.3107
X05BR044,High Silencing,B2M,10.5226
X05BR044,High Silencing,HLAA,8.3766
X05BR044,High Silencing,HLAB,9.867
X05BR044,High Silencing,HLAC,9.867
X06BR014,Low Silencing,B2M,10.2516
X06BR014,Low Silencing,HLAA,8.6602
X06BR014,Low Silencing,HLAB,9.8303
X06BR014,Low Silencing,HLAC,9.8303
X09BR001,High Silencing,B2M,8.2116
X09BR001,High Silencing,HLAA,8.5135
X09BR001,High Silencing,HLAB,8.0481
X09BR001,High Silencing,HLAC,8.0481
X11BR004,High Silencing,B2M,13.2783
X11BR004,High Silencing,HLAA,11.4171
X11BR004,High Silencing,HLAB,11.7643
X11BR004,High Silencing,HLAC,11.7643
X11BR010,Low Silencing,B2M,12.0451
X11BR010,Low Silencing,HLAA,10.2769
X11BR010,Low Silencing,HLAB,11.5571
X11BR010,Low Silencing,HLAC,11.5571
X11BR011,Low Silencing,B2M,12.1251
X11BR011,Low Silencing,HLAA,9.9283
X11BR011,Low Silencing,HLAB,11.3891
X11BR011,Low Silencing,HLAC,11.3891
X11BR012,High Silencing,B2M,10.9723
X11BR012,High Silencing,HLAA,9.8292
X11BR012,High Silencing,HLAB,10.0521
X11BR012,High Silencing,HLAC,10.0521
X11BR014,High Silencing,B2M,11.2952
X11BR014,High Silencing,HLAA,9.6409
X11BR014,High Silencing,HLAB,10.1343
X11BR014,High Silencing,HLAC,10.1343
X11BR015,High Silencing,B2M,9.5575
X11BR015,High Silencing,HLAA,7.5389
X11BR015,High Silencing,HLAB,9.3329
X11BR015,High Silencing,HLAC,9.3329
X11BR017,High Silencing,B2M,11.7622
X11BR017,High Silencing,HLAA,10.2355
X11BR017,High Silencing,HLAB,11.2084
X11BR017,High Silencing,HLAC,11.2084
X11BR019,High Silencing,B2M,11.2995
X11BR019,High Silencing,HLAA,10.3198
X11BR019,High Silencing,HLAB,10.662
X11BR019,High Silencing,HLAC,10.662
X11BR023,Low Silencing,B2M,12.7459
X11BR023,Low Silencing,HLAA,11.1158
X11BR023,Low Silencing,HLAB,11.9396
X11BR023,Low Silencing,HLAC,11.9396
X11BR024,Low Silencing,B2M,12.6606
X11BR024,Low Silencing,HLAA,11.2718
X11BR024,Low Silencing,HLAB,11.9479
X11BR024,Low Silencing,HLAC,11.9479
X11BR025,High Silencing,B2M,9.5998
X11BR025,High Silencing,HLAA,7.3068
X11BR025,High Silencing,HLAB,8.9178
X11BR025,High Silencing,HLAC,8.9178
X11BR030,Low Silencing,B2M,12.4122
X11BR030,Low Silencing,HLAA,10.3307
