Tumor_Sample_Barcode	Group	Hugo_Symbol	Expression_FPKM
CPT000814	High Silencing	B2M	11.2081
CPT000814	High Silencing	HLAA	11.5193
CPT000814	High Silencing	HLAB	11.5578
CPT000814	High Silencing	HLAC	11.5578
CPT001846	High Silencing	B2M	10.8256
CPT001846	High Silencing	HLAA	10.5616
CPT001846	High Silencing	HLAB	10.2631
CPT001846	High Silencing	HLAC	8.8333
X01BR001	High Silencing	B2M	9.9929
X01BR001	High Silencing	HLAA	9.0936
X01BR001	High Silencing	HLAB	10.2574
X01BR001	High Silencing	HLAC	10.2574
X01BR008	High Silencing	B2M	12.3479
X01BR008	High Silencing	HLAA	
X01BR008	High Silencing	HLAB	12.2885
X01BR008	High Silencing	HLAC	12.2885
X01BR009	High Silencing	B2M	11.6783
X01BR009	High Silencing	HLAA	10.6851
X01BR009	High Silencing	HLAB	10.3998
X01BR009	High Silencing	HLAC	10.3998
X01BR010	High Silencing	B2M	9.9924
X01BR010	High Silencing	HLAA	8.1576
X01BR010	High Silencing	HLAB	9.516
X01BR010	High Silencing	HLAC	9.516
X01BR015	Low Silencing	B2M	11.4012
X01BR015	Low Silencing	HLAA	10.3275
X01BR015	Low Silencing	HLAB	11.1097
X01BR015	Low Silencing	HLAC	11.1097
X01BR017	High Silencing	B2M	11.7925
X01BR017	High Silencing	HLAA	9.6213
X01BR017	High Silencing	HLAB	10.8762
X01BR017	High Silencing	HLAC	10.8762
X01BR018	Low Silencing	B2M	12.0411
X01BR018	Low Silencing	HLAA	10.6385
X01BR018	Low Silencing	HLAB	11.2672
X01BR018	Low Silencing	HLAC	11.2672
X01BR020	Low Silencing	B2M	11.3433
X01BR020	Low Silencing	HLAA	9.723
X01BR020	Low Silencing	HLAB	10.7385
X01BR020	Low Silencing	HLAC	10.7385
X01BR023	Low Silencing	B2M	9.1713
X01BR023	Low Silencing	HLAA	7.2089
X01BR023	Low Silencing	HLAB	9.0899
X01BR023	Low Silencing	HLAC	9.0899
X01BR025	High Silencing	B2M	10.9691
X01BR025	High Silencing	HLAA	8.2929
X01BR025	High Silencing	HLAB	9.1537
X01BR025	High Silencing	HLAC	9.1537
X01BR026	High Silencing	B2M	11.6273
X01BR026	High Silencing	HLAA	10.2372
X01BR026	High Silencing	HLAB	10.4517
X01BR026	High Silencing	HLAC	10.4517
X01BR027	Low Silencing	B2M	10.6234
X01BR027	Low Silencing	HLAA	9.1452
X01BR027	Low Silencing	HLAB	9.477
X01BR027	Low Silencing	HLAC	9.477
X01BR030	Low Silencing	B2M	12.3238
X01BR030	Low Silencing	HLAA	10.3272
X01BR030	Low Silencing	HLAB	11.554
X01BR030	Low Silencing	HLAC	11.554
X01BR031	Low Silencing	B2M	11.3073
X01BR031	Low Silencing	HLAA	10.4219
X01BR031	Low Silencing	HLAB	11.0883
X01BR031	Low Silencing	HLAC	11.0883
X01BR032	Low Silencing	B2M	11.2567
X01BR032	Low Silencing	HLAA	10.5952
X01BR032	Low Silencing	HLAB	10.9922
X01BR032	Low Silencing	HLAC	10.9922
X01BR033	High Silencing	B2M	11.4578
X01BR033	High Silencing	HLAA	9.0616
X01BR033	High Silencing	HLAB	10.2425
X01BR033	High Silencing	HLAC	10.2425
X01BR040	Low Silencing	B2M	12.428
X01BR040	Low Silencing	HLAA	11.787
X01BR040	Low Silencing	HLAB	
X01BR040	Low Silencing	HLAC	
X01BR042	Low Silencing	B2M	12.0979
X01BR042	Low Silencing	HLAA	11.1833
X01BR042	Low Silencing	HLAB	11.2316
X01BR042	Low Silencing	HLAC	11.2316
X01BR043	High Silencing	B2M	11.8617
X01BR043	High Silencing	HLAA	10.3997
X01BR043	High Silencing	HLAB	10.6589
X01BR043	High Silencing	HLAC	10.6589
X03BR002	Low Silencing	B2M	10.6378
X03BR002	Low Silencing	HLAA	9.5162
X03BR002	Low Silencing	HLAB	9.1076
X03BR002	Low Silencing	HLAC	9.1076
X03BR004	Low Silencing	B2M	10.6816
X03BR004	Low Silencing	HLAA	7.7346
X03BR004	Low Silencing	HLAB	9.6294
X03BR004	Low Silencing	HLAC	9.6294
X03BR005	Low Silencing	B2M	10.9397
X03BR005	Low Silencing	HLAA	9.1124
X03BR005	Low Silencing	HLAB	10.3043
X03BR005	Low Silencing	HLAC	10.3043
X03BR006	High Silencing	B2M	9.7285
X03BR006	High Silencing	HLAA	9.0494
X03BR006	High Silencing	HLAB	10.5798
X03BR006	High Silencing	HLAC	10.5798
X03BR010	High Silencing	B2M	10.7253
X03BR010	High Silencing	HLAA	7.9882
X03BR010	High Silencing	HLAB	9.9003
X03BR010	High Silencing	HLAC	9.9003
X03BR011	Low Silencing	B2M	10.5555
X03BR011	Low Silencing	HLAA	8.0631
X03BR011	Low Silencing	HLAB	8.8329
X03BR011	Low Silencing	HLAC	8.8329
X03BR013	Low Silencing	B2M	11.2982
X03BR013	Low Silencing	HLAA	9.1065
X03BR013	Low Silencing	HLAB	10.5963
X03BR013	Low Silencing	HLAC	10.5963
X05BR001	High Silencing	B2M	12.4799
X05BR001	High Silencing	HLAA	9.8534
X05BR001	High Silencing	HLAB	11.1551
X05BR001	High Silencing	HLAC	11.1551
X05BR003	Low Silencing	B2M	11.1414
X05BR003	Low Silencing	HLAA	9.145
X05BR003	Low Silencing	HLAB	9.6662
X05BR003	Low Silencing	HLAC	9.6662
X05BR004	Low Silencing	B2M	10.7333
X05BR004	Low Silencing	HLAA	8.3443
X05BR004	Low Silencing	HLAB	9.2184
X05BR004	Low Silencing	HLAC	9.2184
X05BR005	High Silencing	B2M	10.6185
X05BR005	High Silencing	HLAA	9.3898
X05BR005	High Silencing	HLAB	9.6745
X05BR005	High Silencing	HLAC	9.6745
X05BR009	Low Silencing	B2M	10.8465
X05BR009	Low Silencing	HLAA	9.5609
X05BR009	Low Silencing	HLAB	10.006
X05BR009	Low Silencing	HLAC	10.006
X05BR016	Low Silencing	B2M	10.0741
X05BR016	Low Silencing	HLAA	6.5501
X05BR016	Low Silencing	HLAB	9.2251
X05BR016	Low Silencing	HLAC	9.2251
X05BR026	High Silencing	B2M	11.2416
X05BR026	High Silencing	HLAA	9.2031
X05BR026	High Silencing	HLAB	10.3821
X05BR026	High Silencing	HLAC	10.3821
X05BR029	Low Silencing	B2M	10.3265
X05BR029	Low Silencing	HLAA	9.3878
X05BR029	Low Silencing	HLAB	9.5677
X05BR029	Low Silencing	HLAC	9.5677
X05BR038	Low Silencing	B2M	11.4324
X05BR038	Low Silencing	HLAA	9.4188
X05BR038	Low Silencing	HLAB	10.8465
X05BR038	Low Silencing	HLAC	10.8465
X05BR042	High Silencing	B2M	10.655
X05BR042	High Silencing	HLAA	9.7765
X05BR042	High Silencing	HLAB	10.3107
X05BR042	High Silencing	HLAC	10.3107
X05BR043	High Silencing	B2M	11.6829
X05BR043	High Silencing	HLAA	10.5735
X05BR043	High Silencing	HLAB	10.6111
X05BR043	High Silencing	HLAC	10.6111
X05BR044	High Silencing	B2M	10.5226
X05BR044	High Silencing	HLAA	8.3766
X05BR044	High Silencing	HLAB	9.867
X05BR044	High Silencing	HLAC	9.867
X05BR045	High Silencing	B2M	9.8295
X05BR045	High Silencing	HLAA	10.3112
X05BR045	High Silencing	HLAB	10.9876
X05BR045	High Silencing	HLAC	10.9876
X06BR003	High Silencing	B2M	11.3832
X06BR003	High Silencing	HLAA	8.7217
X06BR003	High Silencing	HLAB	10.5602
X06BR003	High Silencing	HLAC	10.5602
X06BR005	Low Silencing	B2M	11.615
X06BR005	Low Silencing	HLAA	9.6693
X06BR005	Low Silencing	HLAB	10.4624
X06BR005	Low Silencing	HLAC	10.4624
X06BR006	High Silencing	B2M	10.8362
X06BR006	High Silencing	HLAA	8.9317
X06BR006	High Silencing	HLAB	10.2482
X06BR006	High Silencing	HLAC	10.2482
X06BR014	Low Silencing	B2M	10.2516
X06BR014	Low Silencing	HLAA	8.6602
X06BR014	Low Silencing	HLAB	9.8303
X06BR014	Low Silencing	HLAC	9.8303
X09BR001	High Silencing	B2M	8.2116
X09BR001	High Silencing	HLAA	8.5135
X09BR001	High Silencing	HLAB	8.0481
X09BR001	High Silencing	HLAC	8.0481
X09BR004	High Silencing	B2M	8.9942
X09BR004	High Silencing	HLAA	7.6216
X09BR004	High Silencing	HLAB	8.2431
X09BR004	High Silencing	HLAC	8.2431
X09BR005	Low Silencing	B2M	11.7999
X09BR005	Low Silencing	HLAA	9.7037
X09BR005	Low Silencing	HLAB	9.6765
X09BR005	Low Silencing	HLAC	9.6765
X09BR007	Low Silencing	B2M	11.1917
X09BR007	Low Silencing	HLAA	8.8605
X09BR007	Low Silencing	HLAB	10.1177
X09BR007	Low Silencing	HLAC	10.1177
X11BR003	Low Silencing	B2M	12.6997
X11BR003	Low Silencing	HLAA	10.8966
X11BR003	Low Silencing	HLAB	12.2281
X11BR003	Low Silencing	HLAC	12.2281
X11BR004	High Silencing	B2M	13.2783
