Hugo_Symbol,Total_Mutations,Silenced_Count,Expressed_Count,Silenced_Percent
TP53,50,0,50,0.0
PIK3CA,40,0,40,0.0
MACF1,16,0,16,0.0
AHNAK,12,0,12,0.0
HERC1,11,0,11,0.0
MAP3K1,11,0,11,0.0
BLTP1,9,0,9,0.0
CDH1,9,0,9,0.0
PTEN,9,0,9,0.0
ASH1L,8,0,8,0.0
GATA3,8,0,8,0.0
NIPBL,8,0,8,0.0
NOTCH3,8,0,8,0.0
PRKDC,8,0,8,0.0
PRRC2C,8,0,8,0.0
RNF213,8,0,8,0.0
SPEN,8,0,8,0.0
SYNE1,8,0,8,0.0
DOCK6,7,0,7,0.0
MAP2K4,7,0,7,0.0
MLLT4,7,0,7,0.0
PPP1R26,7,0,7,0.0
UBR4,7,0,7,0.0
ANKRD11,6,0,6,0.0
BIRC6,6,0,6,0.0
C6orf132,6,0,6,0.0
CENPF,6,0,6,0.0
CROCC,6,0,6,0.0
DDX42,6,0,6,0.0
DOCK5,6,0,6,0.0
EP400,6,0,6,0.0
KMT2D,6,0,6,0.0
MYO18A,6,0,6,0.0
PALM2AKAP2,6,0,6,0.0
ROCK1,6,0,6,0.0
RPGRIP1L,6,0,6,0.0
SETD1B,6,0,6,0.0
SIPA1L3,6,0,6,0.0
TNRC18,6,0,6,0.0
TRIO,6,0,6,0.0
TRIOBP,6,0,6,0.0
VPS13C,6,0,6,0.0
ZNF638,6,0,6,0.0
AKT1,5,0,5,0.0
ARHGAP35,5,0,5,0.0
ARID1A,5,0,5,0.0
ARID2,5,0,5,0.0
ASCC3,5,0,5,0.0
BAZ1A,5,0,5,0.0
CDK12,5,0,5,0.0
CELSR2,5,0,5,0.0
CEP120,5,0,5,0.0
COL12A1,5,0,5,0.0
COL18A1,5,0,5,0.0
COL4A5,5,0,5,0.0
CUL4B,5,0,5,0.0
DNAJC13,5,0,5,0.0
DOPEY1,5,0,5,0.0
DOT1L,5,0,5,0.0
DST,5,0,5,0.0
GNAS,5,0,5,0.0
HECTD1,5,0,5,0.0
ILF3,5,0,5,0.0
IQGAP3,5,0,5,0.0
ITGAM,5,0,5,0.0
KDM5C,5,0,5,0.0
KMT2E,5,0,5,0.0
LAMA3,5,0,5,0.0
LZTR1,5,0,5,0.0
MED23,5,0,5,0.0
MON2,5,0,5,0.0
MYH14,5,0,5,0.0
MYH9,5,0,5,0.0
NOTCH1,5,0,5,0.0
NUMA1,5,0,5,0.0
PLEC,5,0,5,0.0
POLR1A,5,0,5,0.0
RUNX1,5,0,5,0.0
SHROOM3,5,0,5,0.0
SLC4A2,5,0,5,0.0
SRCAP,5,0,5,0.0
STAB1,5,0,5,0.0
TEP1,5,0,5,0.0
TRRAP,5,0,5,0.0
TTC14,5,0,5,0.0
VCAN,5,0,5,0.0
WDFY3,5,0,5,0.0
ZNF585A,5,0,5,0.0
A2M,4,0,4,0.0
ABCA1,4,0,4,0.0
