Case_ID	Project	Tissue_Type	File_ID	B2M	HLA-C	HLA-A	HLA-B
22BR005	CPTAC-2	Tumor	5335783c-b381-47e2-b19a-03a5ff216743	1674.7321	406.6319	504.5455	984.949
17OV028	CPTAC-2	Tumor	10b1c238-5af1-4850-90a2-5b95d632b2c7	799.0006	549.5264	328.8677	628.3962
05BR001	CPTAC-2	Tumor	f9cddd25-ea31-4938-aea0-c1dae2937062	3201.8461	1161.5454	746.1992	2276.2528
11CO010	CPTAC-2	Tumor	ace5e022-7942-4654-9967-bdd2c013dfdf	2128.4284	1920.8465	1762.2335	2502.945
18BR002	CPTAC-2	Tumor	b6dceb3c-5fb6-418f-8f14-b89e2dc6c07e	2810.9391	1285.086	1178.7106	1589.8886
11CO053	CPTAC-2	Tumor	f07b4823-d4e5-49a5-964e-8f98b03ec5af	1718.2442	927.824	790.2973	1903.925
04OV028	CPTAC-2	Tumor	c91c623b-8c45-414b-a659-930afd9473ae	1365.7138	686.9962	495.5991	934.3592
04OV011	CPTAC-2	Tumor	c1b33b55-5597-45c7-9faf-22499234a631	136.5795	143.413	98.7077	137.4969
17OV018	CPTAC-2	Tumor	924ce057-3682-46e6-a637-1fc7e30309ab	2793.0847	862.8319	1010.9629	1646.7147
17OV025	CPTAC-2	Tumor	ed766a65-c789-4b3a-b0f6-20c31281ff92	2369.9462	436.4717	608.3525	527.0261
15OV001	CPTAC-2	Tumor	41492788-5167-4bd1-a419-443f62d0e5be	3117.6814	1758.9665	1841.4165	3252.3634
11CO059	CPTAC-2	Tumor	853c7e88-d3c4-4074-aa85-17f63b3626c3	4614.0182	1061.636	1057.9089	1377.5491
04OV058	CPTAC-2	Tumor	f6e29d94-c82c-422b-bdad-100f90b4d357	1423.7475	592.8365	560.7697	1015.4859
01OV049	CPTAC-2	Tumor	da48f0bf-87f2-46ab-a702-3bc4c59e4a67	3725.6614	607.1327	911.1575	931.3855
05CO028	CPTAC-2	Tumor	72af5127-c87e-46e8-a031-0854773bddaa	2296.8025	449.6234	607.4552	1306.1668
04OV039	CPTAC-2	Tumor	5fccdfc5-e491-461b-8e85-600f14dd968b	1005.4198	1016.9411	541.7282	879.593
11BR038	CPTAC-2	Tumor	35ca5241-e8fa-4fb5-8776-1fa7967f6cb4	1391.2228	807.7799	517.2349	1056.5682
20BR005	CPTAC-2	Tumor	8a73d2b9-e7a1-4f9f-94d1-8d8f925f9c7d	1155.9134	226.2784	173.6761	353.7598
01CO006	CPTAC-2	Tumor	87150078-8a96-4999-ab9c-412008ef5259	1883.8002	689.4739	652.4578	1379.3206
16CO003	CPTAC-2	Tumor	efa27197-3932-42d1-8cb5-aac1133ca080	1490.6892	1111.3784	801.2542	1776.367
02OV015	CPTAC-2	Tumor	e7d69a56-b590-4a7d-89ac-504696c43f58	1188.6041	563.5595	696.6087	1069.0679
17OV010	CPTAC-2	Tumor	5045e171-c517-4648-a608-2450413dc61a	1339.3639	318.6584	509.3091	506.4908
04OV037	CPTAC-2	Tumor	2354d06a-a683-4a62-b30d-d113abda03ab	1360.4129	462.2759	356.1364	562.6353
05BR016	CPTAC-2	Tumor	c659dd7a-68c3-4e7c-8b67-cda1f2fc518a	491.8423	633.5122	111.4616	277.0613
09CO015	CPTAC-2	Tumor	2df88806-fbf2-4111-94b6-6f07901c5c94	1427.743	862.1085	543.9163	953.116
22CO004	CPTAC-2	Tumor	aa6286a7-a5c2-447c-9919-553649a9c50c	1969.3661	1083.1316	778.9709	1530.7183
05BR029	CPTAC-2	Tumor	941d292b-674b-4a25-ae5c-443a9941c0c8	804.335	502.9374	760.2755	730.1151
26OV010	CPTAC-2	Tumor	1bdf08b4-9d57-4883-b6f3-c43c515fac7f	944.4498	278.1575	376.9076	505.8192
11CO061	CPTAC-2	Tumor	ccb73e74-b33e-4c1a-bf12-e148f15244a8	4703.7793	753.6016	461.291	1187.5059
04OV044	CPTAC-2	Tumor	316925f0-494d-4ab6-9869-1ddbec7f97f3	2737.1963	1135.9121	1268.7988	1483.4883
21BR001	CPTAC-2	Tumor	9009b638-490e-4b93-ba41-c07c15214d4c	1204.9611	1162.3022	919.3623	1766.2247
17OV002	CPTAC-2	Tumor	d9a709dc-38b9-40ae-ada8-4ca275e1df39	1109.537	765.9866	330.0726	426.4373
04OV027	CPTAC-2	Tumor	bf21c399-a2df-47cf-9109-06fc996a0db3	1904.1948	1760.3123	1122.7196	1694.337
04OV045	CPTAC-2	Tumor	064f9ad2-7e20-4f56-8404-2252a957fc32	1550.697	753.7239	598.2486	805.7981
02OV044	CPTAC-2	Tumor	016a2336-115d-4542-82ce-f5b4d5e08805	752.4508	225.2849	165.9386	173.06
01OV030	CPTAC-2	Tumor	d0ded576-7617-4b70-b68d-cf4a132c2896	329.2536	161.5108	101.5597	132.6522
05BR058	CPTAC-2	Tumor	caa25eac-982b-4098-b3fd-c0f657d9f046	2528.298	3122.0431	3858.4045	3652.5979
14OV011	CPTAC-2	Tumor	e9943d8a-496e-4db6-afcd-b5ad737d2bb2	1717.9265	785.6842	640.3124	1261.6487
11BR056	CPTAC-2	Tumor	869266fd-d8fd-40ce-8d93-1ee07c1a7b4d	1371.9034	601.0802	387.8143	605.2449
11BR054	CPTAC-2	Tumor	c75ff4f6-42d1-422a-aa41-23a2cb8ba15c	2624.7486	2708.6743	1131.7829	2886.7599
05CO002	CPTAC-2	Tumor	f8cae66d-f3c3-46c3-84e9-0c58013747d8	1895.0384	1205.2701	1009.4887	1959.5983
09CO006	CPTAC-2	Tumor	e7f1cfd1-b136-40e1-b443-f29af7283fb4	2083.9075	571.2902	265.6576	847.4239
17OV036	CPTAC-2	Tumor	997a194c-3811-4b56-a616-472d57c7b8a2	3043.3045	399.3173	621.3166	738.6971
11CO027	CPTAC-2	Tumor	652edda2-5f43-4461-a93b-b6e095c498f5	3540.3561	644.9779	1016.4424	1339.8621
11BR072	CPTAC-2	Tumor	33bdb754-7431-4b82-8140-ec66b5058bc3	1580.2971	912.1211	614.6762	795.263
15CO002	CPTAC-2	Tumor	4ddb9c57-3120-4ab3-9eaf-644b0e5a64fa	1525.7666	1018.7865	653.6861	1123.2811
14BR005	CPTAC-2	Tumor	8dcac4b9-2f7e-4208-a940-7325275613b9	1281.4609	1469.706	701.3803	1068.2892
04OV049	CPTAC-2	Tumor	8dd6bb10-8d72-4793-9f65-a5ec3cdc3fe3	2038.8247	1078.2109	696.4019	1222.545
11BR017	CPTAC-2	Tumor	40d867ea-3f9b-4c44-8fae-d8bacc7aa06b	1690.5104	1574.2933	861.4448	1635.3751
02OV046	CPTAC-2	Tumor	d7b2b01f-3eab-4a9d-ad1f-13d982f1babb	4672.3715	1118.3983	1127.3009	1428.0536
05CO044	CPTAC-2	Tumor	85cbb7cc-5a2d-4e31-96be-88d538bac0d6	915.174	683.4004	866.9997	625.9117
11BR023	CPTAC-2	Tumor	84b7e5f7-2184-4248-a9a1-c42ae14a6e09	4057.9232	2125.4988	2032.874	4454.1277
20OV005	CPTAC-2	Tumor	ba8a8506-29e2-4684-a92d-32af34804468	681.4301	132.8242	97.4797	118.1143
01CO005	CPTAC-2	Tumor	acb15575-875b-467e-8517-fa1f618e0d05	1304.7264	641.4716	1212.2522	1218.8341
11BR059	CPTAC-2	Tumor	1bd6c83b-8862-4ebd-b9f6-b77da318c3ae	965.3616	554.2739	269.9516	582.7835
09CO019	CPTAC-2	Tumor	91825c6a-b5ff-4082-aaca-cbd88a1f4c7a	1187.0882	488.8243	690.2478	1072.0917
22CO006	CPTAC-2	Tumor	ff9b1f41-8be4-42d2-b2bd-96bcedc57f03	4050.7222	1240.7989	2014.9646	3292.9071
11OV002	CPTAC-2	Tumor	e317d34b-b84f-4541-b9ae-25f660249ed6	3632.7612	924.2613	682.2719	1608.5557
100004012	CPTAC-2	Tumor	5f0277f4-ac08-4214-9b24-bd32b4ba44fc	2349.8895	2465.9081	1918.8825	3092.2848
13BR009	CPTAC-2	Tumor	475cc411-a219-4c14-9df7-3fd757171396	1143.578	1110.3264	574.4933	988.021
09CO008	CPTAC-2	Tumor	89f7aaf8-322b-4659-9c15-f6f29d0e173c	1374.0787	675.3581	749.7939	1215.9059
11BR050	CPTAC-2	Tumor	342704d4-8c63-4d8c-998d-42d0b7ac226c	3094.8716	899.176	788.0511	1310.8127
18BR006	CPTAC-2	Tumor	cc264ac8-e3ea-489b-9b3c-d6ef5f55477d	1385.0189	766.3104	493.9515	684.8049
01BR043	CPTAC-2	Tumor	f1f0a726-0597-4b69-812d-1b92148ec76e	2136.6668	1004.6735	1205.5797	1142.1973
18BR007	CPTAC-2	Tumor	6b191e3a-8a94-4174-80df-518f5200d2de	1331.704	934.8267	460.1567	769.7451
26OV011	CPTAC-2	Tumor	d0ae02a6-42c9-4820-b446-26ba4f805e97	1293.1718	692.677	562.402	761.6221
05CO048	CPTAC-2	Tumor	b75759fb-230c-4811-b2bd-fd05f8f33311	1522.8756	1272.8147	1275.8203	2109.7973
05CO055	CPTAC-2	Tumor	b98be00b-80ae-42f7-952b-36f78618d764	3135.1879	827.8779	1119.4567	2497.6607
01CO013	CPTAC-2	Tumor	e9ada76e-3e51-4363-bcdc-839be51e35db	827.6804	900.991	703.4692	1060.3654
11BR043	CPTAC-2	Tumor	14bc81a1-9690-4b6a-8128-9142243ef6f0	1991.8567	1143.476	820.0348	1211.2413
05CO041	CPTAC-2	Tumor	b57c8c2c-f54b-4ae9-a8aa-1db269362f1f	2851.5684	1428.784	549.0202	1662.3559
11CO079	CPTAC-2	Tumor	ff4233e9-37c2-43d5-b4c5-99a6d3878d3f	899.9828	913.8089	814.1262	957.9992
01BR031	CPTAC-2	Tumor	4e0da11e-3e31-480d-9d79-c5a8362be44a	1405.8111	1147.8517	1158.0215	1788.2381
